,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30700698,64 BENTON Street #12A,Kitchener,0,0/0,1976,,180,$161.11,"$39,500","$29,000",12/17/2018,73.42,26
1,30690774,41 VALLEYVIEW Road #22-Door 8,Kitchener,1,1/0,,,621,$257.65,"$170,000","$160,000",12/28/2018,94.12,80
2,30695257,64 BENTON Street #506,Kitchener,1,1/0,,,600,$300.00,"$184,900","$180,000",12/19/2018,97.35,41
3,30697781,375 KING Street #1503,Waterloo,2,1/1,,,"1,175",$154.04,"$185,000","$181,000",12/18/2018,97.84,42
4,30699996,65 westmount Road #311Westmou,Waterloo,2,1/1,1975,,"1,200",$154.17,"$180,000","$185,000",12/18/2018,102.78,29
5,30694571,71 VANIER Drive #104,Kitchener,3,1/1,,,"1,160",$171.55,"$199,000","$199,000",12/07/2018,100.00,44
6,30700763,30 AVALON Place #210,Kitchener,3,1/0,1977,,"1,008",$201.88,"$210,000","$203,500",12/19/2018,96.90,28
7,30699091,76 BORDEN Parkway #2,Kitchener,3,1/0,,,"1,100",$187.27,"$215,000","$206,000",12/20/2018,95.81,36
8,30700734,29 West Avenue #106,Kitchener,2,1/0,1977,,750,$274.67,"$209,500","$206,000",12/13/2018,98.33,21
9,30701904,225 Harvard Place #1005,Waterloo,1,1/0,1974,,690,$304.35,"$205,000","$210,000",12/21/2018,102.44,16
10,30692724,71 Vanier Drive #309,Kitchener,3,1/1,,,"1,058",$200.38,"$219,900","$212,000",12/28/2018,96.41,77
11,30703140,35 Green Valley Drive #214,Kitchener,1,1/0,1993,,820,$268.29,"$200,000","$220,000",12/28/2018,110.00,18
12,30699635,35 Breckenridge Drive #57,Kitchener,2,1/0,,,990,$222.63,"$219,900","$220,400",12/14/2018,100.23,7
13,30695502,178 GRULKE Street #4,Kitchener,3,1/0,,,"1,192",$197.15,"$249,000","$235,000",12/19/2018,94.38,53
