,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA0991333,12 Ridgeway Crescent,Kitchener,3,1/0,1996,,"1,000",$1.05,"$202,900","$1,050",04/16/2009,0.52,31
1,KW0917119,331 Hidden Creek Drive,Kitchener,4,0/0,2001,,"2,600",$4.15,"$379,000","$10,800",04/17/2009,2.85,45
2,KW0917956,3227 King Street #908,Kitchener,2,0/0,,,,,"$157,900","$12,000",05/08/2009,7.60,47
3,KW0914467,975 Strasburg Road #10,Kitchener,3,0/0,2008,,,,"$208,000","$13,200",03/09/2009,6.35,25
4,KW0844035,3 Father David Bauer Drive #213,Waterloo,2,0/0,1999,,"1,600",$9.38,"$450,000","$15,000",01/27/2009,3.33,86
5,KW0924319,142 Marl Meadow Drive,Kitchener,3,0/0,,,,,"$269,900","$15,000",06/05/2009,5.56,29
6,KW0914092,843 Laurelwood Drive,Waterloo,4,0/0,2007,,,,"$304,900","$18,600",04/02/2009,6.10,59
7,KW0841595,912 Marl Meadow Court,Kitchener,4,0/0,2005,,"2,305",$8.33,"$349,900","$19,200",01/28/2009,5.49,92
8,KW0844629,270 Victoria Street,Kitchener,3,0/0,,,,,"$279,900","$19,200",02/02/2009,6.86,70
9,KW0911653,14 Banffshire Street,Kitchener,3,0/0,2007,,"2,005",$9.88,"$323,900","$19,800",04/06/2009,6.11,78
10,KW0911456,209 Huck Crescent,Kitchener,4,0/0,2008,,"2,350",$9.19,"$324,900","$21,600",03/10/2009,6.65,57
11,KW0847337,557 Leighland Drive,Waterloo,5,0/0,,,"3,341",$8.62,"$549,900","$28,800",03/11/2009,5.24,85
12,KW0847050,215 Huck Crescent,Kitchener,2,0/0,2008,,"1,600",$21.75,"$334,900","$34,800",02/09/2009,10.39,69
13,KW0914424,283 Fairway Road #100,Kitchener,0,0/0,,,355,$154.93,"$54,900","$55,000",02/23/2009,100.18,13
14,KW0831891,265 Weber Street #9,Kitchener,2,0/0,1949,,,,"$70,000","$65,000",06/05/2009,92.86,320
15,KW0924603,265 Weber Street #11,Kitchener,2,0/0,1948,,,,"$68,900","$68,900",06/15/2009,100.00,33
16,KW0817659,580 Beaver Creek Road #81,Waterloo,1,0/0,1998,,,,"$87,000","$70,000",03/16/2009,80.46,363
17,KW0911113,30 Avalon Place #207,Kitchener,1,0/0,,,,,"$100,000","$90,000",03/19/2009,90.00,72
18,KW0914591,64 Benton Street #1101,Kitchener,1,0/0,,,,,"$93,900","$93,000",05/01/2009,99.04,81
19,KW0911722,64 Benton Street #303,Kitchener,1,0/0,,,600,$161.50,"$98,900","$96,900",02/23/2009,97.98,35
20,KW0841068,35 Breckenridge Drive #50,Kitchener,2,0/0,,,,,"$99,000","$97,500",02/06/2009,98.48,128
21,KW0837752,35 Breckenridge Drive #23,Kitchener,2,0/0,,,,,"$99,000","$99,000",03/16/2009,100.00,182
22,KW0911839,283 Fairway Road #90,Kitchener,2,0/0,,,805,$122.98,"$98,900","$99,000",02/23/2009,100.10,35
23,KW0921126,64 Benton Street #1306,Kitchener,1,0/0,,,600,$166.67,"$99,990","$100,000",06/02/2009,100.01,68
24,KW0847548,42 St Leger Street,Kitchener,2,0/0,,,,,"$110,000","$102,500",01/22/2009,93.18,23
25,KW0911558,64 Benton Street #501,Kitchener,1,0/0,,,600,$173.33,"$104,990","$104,000",06/02/2009,99.06,149
26,KW0914931,283 Fairway Road #201,Kitchener,2,0/0,,,840,$123.81,"$106,900","$104,000",05/01/2009,97.29,63
27,CA0992071,64 Benton Street #1406,Kitchener,1,1/0,,,600,$175.00,"$109,900","$105,000",06/11/2009,95.54,35
28,KW0914639,283 Fairway Road #406,Kitchener,2,0/0,,,840,$125.00,"$105,900","$105,000",02/24/2009,99.15,7
29,KW0914640,283 Fairway Road #402,Kitchener,2,0/0,,,840,$125.00,"$105,900","$105,000",02/24/2009,99.15,7
