,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,KW1017408,3227 King Street #212,Kitchener,2,0/0,,,,,"$160,000","$6,750",03/19/2010,4.22,10
1,KW1021739,404 King Street #503,Kitchener,1,0/0,2007,,,,"$189,900","$12,960",04/26/2010,6.82,7
2,KW0941516,404 King Street #308,Kitchener,2,0/0,2007,,"1,120",$13.39,"$274,900","$15,000",01/08/2010,5.46,88
3,KW0947384,270 Victoria Street,Kitchener,3,0/0,,,,,"$255,000","$17,400",01/04/2010,6.82,22
4,KW1017876,827 Laurelwood Drive,Waterloo,4,0/0,2008,,,,"$329,900","$18,000",03/31/2010,5.46,13
5,KW0947458,847 Laurelwood Drive,Waterloo,4,0/0,,,"1,700",$11.29,"$299,900","$19,200",01/08/2010,6.40,21
6,KW1022141,30 Avalon Place #116,Kitchener,1,0/0,1983,,600,$155.83,"$99,900","$93,500",05/06/2010,93.59,20
7,KW1022288,30 Hugo Crescent #104,Kitchener,1,0/0,,,,,"$105,000","$98,200",05/21/2010,93.52,22
8,KW1014470,279 Chandler Drive #208,Kitchener,1,0/0,1973,,,,"$107,000","$98,500",05/26/2010,92.06,106
9,KW1017170,160 Rittenhouse Road #32,Kitchener,2,0/0,,,,,"$115,900","$103,000",05/14/2010,88.87,73
10,KW1017389,30 Hugo Crescent #307,Kitchener,1,0/0,1990,,,,"$111,000","$104,000",03/26/2010,93.69,21
11,KW1017105,64 Benton Street #1106,Kitchener,1,0/0,,,600,$175.00,"$109,900","$105,000",05/28/2010,95.54,91
12,KW1011602,30 Avalon Place #212,Kitchener,2,0/0,,,,,"$112,800","$107,000",02/12/2010,94.86,29
13,KW1014632,64 Benton Street #1002,Kitchener,1,0/0,,,600,$179.17,"$112,000","$107,500",06/01/2010,95.98,119
14,KW1017115,279 Chandler Drive #202,Kitchener,2,0/0,,,,,"$114,900","$108,500",03/31/2010,94.43,30
15,BD1002832,89 OTTAWA Street,Kitchener,3,3/0,9999,,"3,304",$33.29,"$149,000","$110,000",05/21/2010,73.83,52
16,KW0944523,279 Chandler Drive #710,Kitchener,2,0/0,1973,,,,"$113,900","$110,000",01/19/2010,96.58,64
17,KW1011723,30 Avalon Place #209,Kitchener,2,0/0,,,800,$137.50,"$114,900","$110,000",03/10/2010,95.74,51
18,KW1014203,1460 Highland Road #8C,Kitchener,1,0/0,2010,,606,$184.82,"$124,900","$112,000",03/24/2010,89.67,50
19,KW1014912,29 West Avenue #711,Kitchener,2,0/0,,,,,"$109,900","$113,000",05/05/2010,102.82,71
