,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1190160,LT 7 Upper Mercer Street,Kitchener,3,2/0,,,"1,790",,"$317,900",,04/05/2011,0.00,85
1,CA1190025,259 Thornlea Court,Waterloo,5,4/0,1996,,"2,500",$1.08,"$579,900","$2,700",06/01/2011,0.47,148
2,KW1044169,192 Alpine Road #13,Kitchener,2,0/0,,,,,"$219,900","$8,700",01/14/2011,3.96,72
3,KW1121115,45 Cedarhill Crescent #11A,Kitchener,2,0/0,,,983,$10.99,"$179,900","$10,800",05/20/2011,6.00,50
4,KW1044187,276 King Street #205,Kitchener,1,0/0,,,883,$14.95,"$229,900","$13,200",01/13/2011,5.74,71
5,KW1114965,276 King Street #310,Kitchener,2,0/0,2005,,803,$16.81,"$144,900","$13,500",03/29/2011,9.32,29
6,KW1121137,120 Mansion Street #301,Kitchener,1,0/0,2005,,600,$23.00,"$193,000","$13,800",06/01/2011,7.15,61
7,KW1121442,120 Mansion Street #307,Kitchener,1,0/0,,,,,"$201,500","$14,400",04/19/2011,7.15,14
8,KW1117566,120 Mansion Street #408,Kitchener,1,0/0,,,745,$20.13,"$224,900","$15,000",06/01/2011,6.67,80
9,KW1041964,191 King Street #405,Waterloo,1,0/0,,,691,$23.44,"$294,900","$16,200",03/09/2011,5.49,133
10,KW1114186,28 Erbsville Court,Waterloo,3,0/0,,,,,"$289,900","$16,200",03/08/2011,5.59,33
11,KW1041485,276 King Street #303,Kitchener,2,0/0,,,"1,600",$11.99,"$309,900","$19,188",02/04/2011,6.19,114
12,KW1111249,4 Daytona Street,Kitchener,3,0/0,1989,,"1,200",$16.00,"$299,900","$19,200",01/14/2011,6.40,7
13,KW1114267,580 Beaver Creek Road #L251,Waterloo,2,0/0,1974,,800,$27.50,"$28,000","$22,000",03/30/2011,78.57,55
14,KW1122194,580 Beaver Creek Road #196,Waterloo,1,0/0,1988,,775,$34.84,"$29,800","$27,000",06/14/2011,90.60,47
15,KW1124894,580 Beaver Creek Road #8,Waterloo,2,0/0,1989,0.05,960,$43.23,"$43,500","$41,500",06/10/2011,95.40,24
16,KW1041186,580 Beaver Creek Road #22,Waterloo,2,0/0,,,,,"$52,900","$48,000",05/11/2011,90.74,217
17,KW1111144,191 King Street #712,Waterloo,2,0/0,2009,,"1,277",$54.68,"$399,900","$69,825",04/08/2011,17.46,92
18,KW1044606,30 Bridge Street #108,Kitchener,1,0/0,1992,,650,$116.77,"$85,000","$75,900",03/30/2011,89.29,128
19,KW1111752,30 Avalon Place #216,Kitchener,1,0/0,,,700,$135.00,"$95,500","$94,500",02/07/2011,98.95,19
20,KW1121134,64 Benton Street #406,Kitchener,1,0/0,,,600,$157.50,"$105,900","$94,500",05/19/2011,89.24,45
21,KW1114381,64 Benton Street #1101,Kitchener,1,0/0,,,600,$173.33,"$109,900","$104,000",04/09/2011,94.63,63
22,KW1124206,160 Rittenhouse Road #15,Kitchener,3,0/0,,,,,"$108,900","$104,000",05/25/2011,95.50,59
23,KW1117781,203 Fairway Road #11,Kitchener,3,0/0,,,,,"$99,900","$105,900",03/28/2011,106.01,10
24,KW1044514,35 Breckenridge Drive #40,Kitchener,2,0/0,,,,,"$114,900","$106,000",02/17/2011,92.25,92
25,KW1114079,29 West Avenue #106,Kitchener,2,0/0,,,750,$141.71,"$113,900","$106,280",05/02/2011,93.31,84
26,KW1117836,279 Chandler Drive #301,Kitchener,2,0/0,1973,,,,"$112,900","$107,000",04/08/2011,94.77,19
27,KW1124951,29 West Avenue #706,Kitchener,2,0/0,,,,,"$113,000","$108,500",06/14/2011,96.02,26
28,KW1044166,225 Harvard Place #502,Waterloo,1,0/0,,,,,"$114,900","$109,000",01/05/2011,94.87,62
29,KW1124626,1100 Courtland Avenue #807,Kitchener,1,0/0,,,724,$150.55,"$115,000","$109,000",05/20/2011,94.78,13
30,KW1047339,160 Rittenhouse Road #9,Kitchener,2,0/0,,,,,"$115,900","$110,000",03/18/2011,94.91,90
31,KW1121325,18 Holborn Drive #612,Kitchener,2,0/0,1990,,"1,000",$110.00,"$114,900","$110,000",04/18/2011,95.74,13
32,KW1111684,203 Fairway Road #9,Kitchener,3,0/0,,,,,"$105,900","$110,100",01/27/2011,103.97,9
33,KW1121404,160 Rittenhouse Road #36,Kitchener,3,0/0,,,,,"$114,900","$113,900",04/29/2011,99.13,23
34,KW1047074,35 Breckenridge Drive #12,Kitchener,2,0/0,,,,,"$114,900","$114,000",01/28/2011,99.22,58
35,KW1117033,30 Avalon Place #304,Kitchener,2,0/0,,,800,$145.00,"$119,900","$116,000",03/17/2011,96.75,21
36,KW1117061,18 Holborn Court #602,Kitchener,2,0/0,,,"1,000",$116.00,"$120,000","$116,000",05/06/2011,96.67,69
37,KW1044201,71 Vanier Drive #102,Kitchener,2,0/0,1976,,,,"$119,900","$117,000",02/24/2011,97.58,111
38,KW1111504,64 Benton Street #1403,Kitchener,1,0/0,,,,,"$124,900","$118,000",01/28/2011,94.48,15
39,KW1111096,1100 Courtland Avenue #110,Kitchener,2,0/0,,,,,"$124,900","$120,000",01/25/2011,96.08,23
40,KW1047086,71 Vanier Drive #207,Kitchener,3,0/0,1977,,,,"$129,900","$121,000",02/18/2011,93.15,78
41,KW1111418,32 Mowat Boulevard #2,Kitchener,3,0/0,,,,,"$123,900","$122,000",04/01/2011,98.47,81
42,KW1124244,356 Victoria Street,Kitchener,2,0/0,,,,,"$129,000","$122,000",05/06/2011,94.57,2
43,KW1124739,565 Greenfield Avenue #903,Kitchener,2,0/0,,,,,"$125,000","$122,500",06/02/2011,98.00,18
44,CA1190828,648 Doon Village Road #9,Kitchener,3,2/0,,,"1,100",$111.82,"$132,900","$123,000",04/08/2011,92.55,52
45,KW1047116,144 Jansen Avenue #8,Kitchener,3,0/0,1971,,"1,100",$111.82,"$125,000","$123,000",01/28/2011,98.40,53
46,KW1111594,64 Benton Street #1301,Kitchener,1,0/0,,,600,$205.83,"$124,990","$123,500",01/19/2011,98.81,3
47,KW1117083,18 Holborn Court #105,Kitchener,2,0/0,,,"1,000",$123.80,"$129,500","$123,800",04/20/2011,95.60,51
48,KW1111824,144 Jansen Avenue #15,Kitchener,3,0/0,1978,,"1,100",$112.73,"$127,900","$124,000",02/18/2011,96.95,27
49,KW1111830,266 Overlea Drive #304,Kitchener,2,0/0,,,,,"$129,900","$124,000",02/11/2011,95.46,20
50,KW1117754,165 Green Valley Drive #71,Kitchener,3,0/0,,,950,$131.47,"$124,900","$124,900",03/31/2011,100.00,16
51,KW1111912,266 Overlea Drive #501,Kitchener,2,0/0,1990,,750,$166.67,"$129,900","$125,000",02/10/2011,96.23,17
52,KW1121617,71 Vanier Drive #312,Kitchener,2,0/0,1977,,,,"$129,900","$125,000",06/15/2011,96.23,63
53,KW1124419,565 Greenfield Avenue #702,Kitchener,2,0/0,1984,,800,$157.50,"$126,000","$126,000",06/13/2011,100.00,42
54,KW1114798,1100 Courtland Avenue #104,Kitchener,2,0/0,,,,,"$134,900","$127,000",03/16/2011,94.14,23
55,KW1114779,266 Overlea Drive #206,Kitchener,2,0/0,1989,,750,$170.00,"$129,900","$127,500",03/04/2011,98.15,14
56,KW1114300,565 Greenfield Avenue #206,Kitchener,2,0/0,1984,,,,"$135,000","$128,000",03/25/2011,94.81,49
57,KW1117547,30 Bridge Street #301,Kitchener,2,0/0,1990,,,,"$129,900","$128,000",03/31/2011,98.54,17
