,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30505972,410 King Street #120,Kitchener,2,1/0,2008,,910,$1.48,"$269,900","$1,350",03/09/2016,0.50,58
1,30508006,30 Bryan Crescent #1,Kitchener,3,1/1,,,"1,514",$0.96,"$1,450","$1,450",02/23/2016,100.00,23
2,30508547,27 APPLEBY Street,Kitchener,3,2/1,2015,,"1,541",$0.97,"$1,500","$1,500",02/10/2016,100.00,6
3,30511692,191 King Street #1207,Waterloo,1,1/1,2008,,691,$2.24,"$1,500","$1,550",03/14/2016,103.33,9
4,30508318,112 BENTON Street #321,Kitchener,1,1/0,,,813,$19.19,"$1,350","$15,600",02/29/2016,1155.56,27
5,30512282,580 BEAVER CREEK Road #190,Waterloo,1,1/0,,,785,$62.42,"$49,800","$49,000",05/15/2016,98.39,66
6,30512897,580 BEAVER CREEK Road #354,Waterloo,1,1/0,1988,,785,$63.69,"$55,000","$50,000",05/06/2016,90.91,52
7,30510491,293 Fairway Road #21,Kitchener,2,1/0,1972,,"1,033",$105.03,"$109,900","$108,500",05/26/2016,98.73,80
8,KW1537394,71 Vanier Drive #308,Kitchener,2,0/0,,,"1,058",$102.55,"$117,000","$108,500",03/21/2016,92.74,192
9,30502747,64 Benton Street #603,Kitchener,1,1/0,,,600,$186.67,"$114,000","$112,000",01/21/2016,98.25,80
10,KW1534752,64 Benton Street #1302,Kitchener,1,1/0,1976,,600,$188.33,"$113,000","$113,000",01/12/2016,100.00,145
11,KW1537258,293 FAIRWAY Road #16,Kitchener,2,1/0,,,,,"$114,900","$114,500",03/03/2016,99.65,185
12,30509163,64 Benton Street #405,Kitchener,1,1/0,,,600,$191.50,"$114,900","$114,900",03/29/2016,100.00,47
13,30511496,293 FAIRWAY Road #14,Kitchener,2,1/0,1972,,"1,033",$111.33,"$124,900","$115,000",05/03/2016,92.07,60
14,30508606,64 Benton Street #605,Kitchener,1,1/0,1976,,600,$193.33,"$119,500","$116,000",03/04/2016,97.07,31
15,30511418,29 West Avenue #604,Kitchener,2,1/0,,,750,$158.00,"$124,900","$118,500",05/11/2016,94.88,69
16,30512428,279 CHANDLER Drive #510,Kitchener,2,1/0,,,900,$132.22,"$125,000","$119,000",04/12/2016,95.20,29
17,30509364,6 Walton Avenue #204,Kitchener,3,1/1,,,"1,056",$113.64,"$120,000","$120,000",03/09/2016,100.00,22
