,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30734496,4 WILLOW Street #201,Waterloo,2,2/0,,,"1,469",$1.77,"$459,000","$2,600",05/30/2019,0.57,18
1,30722213,41 VALLEYVIEW Road #24,Kitchener,1,1/0,,,800,$187.50,"$149,000","$150,000",04/09/2019,100.67,22
2,30723124,279 CHANDLER Drive #406,Kitchener,1,1/0,,,759,$204.22,"$159,900","$155,000",04/10/2019,96.94,11
3,30721070,10 ELLEN Street #103,Kitchener,1,1/0,1989,,425,$367.76,"$159,900","$156,300",04/05/2019,97.75,15
4,30726209,24 Midland Drive #702,Kitchener,2,1/0,1970,,"1,069",$149.67,"$170,000","$160,000",04/28/2019,94.12,17
5,30723653,64 BENTON Street #503,Kitchener,1,1/0,1976,,647,$250.58,"$167,900","$162,127",04/23/2019,96.56,22
6,30701897,41 VALLEYVIEW Road #55,Kitchener,1,1/0,,,523,$310.71,"$171,000","$162,500",03/15/2019,95.03,102
7,30714961,279 Chandler Drive #306,Kitchener,1,1/0,,,754,$215.52,"$165,000","$162,500",03/19/2019,98.48,22
8,30703126,41 VALLEYVIEW Road #39,Kitchener,1,1/0,1990,,523,$311.66,"$164,900","$163,000",02/04/2019,98.85,11
9,30719421,41 VALLEYVIEW Road #34,Kitchener,1,1/0,1990,,523,$312.62,"$169,999","$163,500",04/12/2019,96.18,21
10,30735339,64 BENTON Street #1005,Kitchener,1,1/0,,,600,$273.33,"$164,900","$164,000",05/28/2019,99.45,14
11,30710809,41 VALLEYVIEW Road #51,Kitchener,1,1/0,1990,,523,$314.53,"$164,900","$164,500",02/19/2019,99.76,9
12,30708541,279 CHANDLER Drive #305,Kitchener,1,1/0,,,982,$175.66,"$175,000","$172,500",02/22/2019,98.57,25
13,30701881,375 King Street #407,Waterloo,2,1/0,,,940,$188.30,"$179,900","$177,000",01/11/2019,98.39,41
14,30732339,375 KING Street #703,Waterloo,3,1/1,,,"1,175",$151.49,"$185,000","$178,000",06/06/2019,96.22,31
