,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,KW1312069,428 Beaumont Crescent,Kitchener,4,0/0,2011,,"2,425",$0.72,"$419,900","$1,750",02/25/2013,0.42,29
1,CA1390065,34 Pioneer Tower Crescent,Kitchener,4,3/0,2000,,"1,850",$1.62,"$629,900","$3,000",02/14/2013,0.48,41
2,KW1311208,265 Westcourt Place #209,Waterloo,1,0/0,1988,,"1,000",$14.40,"$212,000","$14,400",02/15/2013,6.79,39
3,KW1327053,50 Blue Springs Drive #62,Waterloo,1,0/0,1980,,"1,485",$11.72,"$240,900","$17,400",06/07/2013,7.22,3
4,KW1317413,524 Hidden Creek Drive,Kitchener,4,0/0,1999,,,,"$369,900","$19,800",05/27/2013,5.35,73
5,KW1317195,580 Beaver Creek Road #244,Waterloo,2,0/0,1989,,884,$44.12,"$45,000","$39,000",04/30/2013,86.67,53
6,KW1311158,61 Stoke Drive,Kitchener,4,0/0,1981,,"2,062",$19.20,"$409,900","$39,600",02/22/2013,9.66,51
7,KW1311574,258 Edgewater Crescent #10,Kitchener,4,0/0,2012,,,,"$879,900","$54,000",03/11/2013,6.14,56
8,KW1321894,283 Fairway Road #100,Kitchener,1,0/0,1969,,,,"$97,000","$93,500",05/30/2013,96.39,38
9,KW1247268,178 Grulke Street #13,Kitchener,2,0/0,,,,,"$108,000","$100,000",02/22/2013,92.59,71
10,KW1311451,203 Fairway Road #7,Kitchener,3,0/0,,,"1,000",$100.20,"$99,900","$100,200",01/24/2013,100.30,16
11,KW1317871,279 Chandler Drive #306,Kitchener,1,0/0,1973,,,,"$109,900","$105,000",06/13/2013,95.54,83
12,KW1321464,29 West Avenue #208,Kitchener,2,0/0,,,,,"$104,900","$105,100",05/07/2013,100.19,33
13,KW1247310,30 Avalon Place #307,Kitchener,1,0/0,,,600,$176.67,"$109,900","$106,000",01/11/2013,96.45,24
14,KW1311420,29 West Avenue #610,Kitchener,2,0/0,,,840,$127.38,"$109,900","$107,000",04/02/2013,97.36,82
15,KW1318141,64 Benton Street #603,Kitchener,1,0/0,,,600,$180.00,"$109,900","$108,000",04/24/2013,98.27,24
16,KW1317398,60 Elmsdale Drive #36,Kitchener,3,0/0,,,,,"$98,000","$110,000",03/18/2013,112.24,4
17,KW1314018,64 Benton Street #402,Kitchener,1,0/0,,,600,$186.67,"$115,400","$112,000",03/21/2013,97.05,50
