,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,KW0934506,410 King Street #514,Kitchener,1,0/0,2008,,610,$10.72,"$197,500","$6,540",09/08/2009,3.31,21
1,KW0931048,35 Breckenridge Drive #12,Kitchener,2,0/0,,,,,"$129,900","$11,100",08/31/2009,8.55,61
2,KW0931828,276 King Street #303,Kitchener,2,0/0,,,"1,600",$11.24,"$319,900","$17,988",12/14/2009,5.62,145
3,KW0927025,39 Country Clair Street,Kitchener,3,0/0,2007,,,,"$335,000","$18,000",08/24/2009,5.37,85
4,KW0931193,2 Lancaster Street #602,Kitchener,2,0/0,1991,,"1,750",$10.29,"$299,900","$18,000",07/10/2009,6.00,4
5,KW0934398,831 Laurelwood Drive,Waterloo,4,0/0,2008,,"1,700",$10.59,"$299,000","$18,000",08/28/2009,6.02,16
6,KW0924941,580 Beaver Creek Road #140,Waterloo,1,0/0,,,687,$31.30,"$24,500","$21,500",08/05/2009,87.76,76
7,KW0937134,783 Klosters Drive,Waterloo,3,0/0,2004,,"2,530",$9.96,"$449,900","$25,200",10/16/2009,5.60,43
8,KW0937900,401 Deer Ridge Drive,Kitchener,2,0/0,2004,,"1,945",$13.57,"$650,000","$26,400",10/15/2009,4.06,21
9,KW0924223,265 Weber Street #2,Kitchener,2,0/0,,,,,"$65,900","$62,000",07/21/2009,94.08,77
10,KW0927929,580 Beaver Creek Road #L19,Waterloo,1,0/0,1992,,,,"$73,900","$68,000",09/14/2009,92.02,84
11,KW0937206,203 Fairway Road #3,Kitchener,3,0/0,,,,,"$79,900","$80,500",09/17/2009,100.75,16
12,KW0937205,203 Fairway Road #2,Kitchener,3,0/0,,,,,"$89,900","$90,500",09/17/2009,100.67,17
13,KW0928141,29 West Avenue #303,Kitchener,1,0/0,,,,,"$92,900","$92,000",07/22/2009,99.03,22
14,KW0921825,35 Breckenridge Drive #49,Kitchener,2,0/0,,,,,"$99,900","$93,000",07/10/2009,93.09,81
15,KW0934770,29 West Avenue #507,Kitchener,2,0/0,,,950,$98.95,"$94,900","$94,000",11/19/2009,99.05,61
16,KW0941267,203 Fairway Road #4,Kitchener,3,0/0,,,"1,000",$96.10,"$94,900","$96,100",10/26/2009,101.26,20
17,KW0937686,4 Avalon Place #208,Kitchener,1,0/0,,,,,"$99,900","$98,000",10/20/2009,98.10,33
18,KW0927267,64 Benton Street #503,Kitchener,1,0/0,,,600,$166.65,"$104,990","$99,990",08/16/2009,95.24,82
19,KW0927821,75 Hazelglen Drive #208,Kitchener,2,0/0,,,,,"$104,800","$100,000",10/20/2009,95.42,124
20,KW0941138,235 Herbert Street,Waterloo,3,0/0,,,,,"$84,900","$102,000",10/13/2009,120.14,8
21,KW0937588,100 Breckenridge Drive #203,Kitchener,1,0/0,,,,,"$104,900","$103,000",10/30/2009,98.19,43
22,KW0931025,283 Fairway Road #201,Kitchener,2,0/0,1969,,840,$125.00,"$106,900","$105,000",08/19/2009,98.22,48
23,KW0931285,1100 Courtland Avenue #307,Kitchener,1,0/0,1973,,800,$133.75,"$109,900","$107,000",07/28/2009,97.36,20
24,KW0927753,55 Green Valley Drive #114,Kitchener,1,0/0,1990,,820,$131.10,"$109,900","$107,500",07/06/2009,97.82,20
25,KW0931231,1100 Courtland Avenue #915,Kitchener,1,0/0,,,,,"$112,500","$109,500",08/19/2009,97.33,44
26,KW0934271,91 Louisa Street,Kitchener,6,0/0,1920,,,,"$165,000","$110,000",08/24/2009,66.67,15
27,KW0941346,279 Chandler Drive #304,Kitchener,2,0/0,,,,,"$119,900","$110,000",12/11/2009,91.74,63
28,KW0937967,30 Avalon Place #308,Kitchener,2,0/0,,,,,"$112,900","$110,500",10/27/2009,97.87,33
29,KW0934806,283 Fairway Road #90,Kitchener,2,0/0,1969,,805,$141.61,"$104,900","$114,000",11/23/2009,108.67,88
30,KW0947047,160 Rittenhouse Road #39,Kitchener,3,0/0,1990,,"1,000",$114.00,"$115,900","$114,000",12/10/2009,98.36,10
31,KW0927106,64 Benton Street #1201,Kitchener,1,0/0,,,600,$190.83,"$113,990","$114,500",10/27/2009,100.45,161
32,KW0931074,18 Holborn Court #206,Kitchener,2,0/0,1990,,"1,000",$115.00,"$119,900","$115,000",07/23/2009,95.91,21
33,KW0931274,385 Pioneer Drive #2,Kitchener,2,0/0,1977,,,,"$119,900","$115,000",10/23/2009,95.91,92
34,KW0934047,60 Elmsdale Drive #42,Kitchener,2,0/0,,,,,"$119,900","$115,000",10/05/2009,95.91,63
35,KW0937293,675 Westmount Road #9,Kitchener,3,0/0,,,,,"$119,000","$115,000",12/03/2009,96.64,81
36,KW0937366,24 Mooregate Crescent #206,Kitchener,2,0/0,1975,,,,"$119,900","$115,000",10/15/2009,95.91,35
37,KW0937399,565 Greenfield Avenue #502,Kitchener,2,0/0,1991,,,,"$119,000","$116,025",09/25/2009,97.50,14
38,CA0994579,4 Avalon Place #104,Kitchener,3,1/0,1978,,"1,100",$105.68,"$117,500","$116,250",12/01/2009,98.94,67
39,KW0927672,30 Avalon Place #314,Kitchener,2,0/0,1978,,,,"$114,900","$116,630",08/19/2009,101.51,65
40,KW0917568,1100 Courtland Avenue #714,Kitchener,2,0/0,,,,,"$125,900","$118,000",08/13/2009,93.73,151
41,KW0917645,19 Rutherford Drive,Kitchener,2,0/0,1965,,,,"$119,900","$118,000",07/08/2009,98.42,111
42,KW0937150,25 Upper Canada Drive #33,Kitchener,3,0/0,,,,,"$125,900","$118,000",09/15/2009,93.73,13
43,KW0937273,30 Avalon Place #210,Kitchener,3,0/0,,,,,"$119,900","$118,000",10/16/2009,98.42,42
44,KW0934556,225 Harvard Place #711,Waterloo,1,0/0,,,,,"$122,000","$119,000",10/20/2009,97.54,63
45,KW0937214,75 Hazelglen Drive #307,Kitchener,2,0/0,1975,,,,"$122,000","$119,000",09/30/2009,97.54,26
46,KW0934037,266 Overlea Drive #301,Kitchener,2,0/0,,,750,$159.33,"$120,000","$119,500",11/25/2009,99.58,116
47,KW0928092,30 Bridge Street #105,Kitchener,2,0/0,,,,,"$123,900","$120,000",08/14/2009,96.85,46
48,KW0934228,225 Harvard Place #209,Waterloo,2,0/0,,,,,"$129,900","$120,000",09/17/2009,92.38,42
49,KW0934723,225 Harvard Place #1402,Waterloo,1,0/0,,,,,"$121,900","$120,000",09/24/2009,98.44,31
50,KW0937867,160 Rittenhouse Road #18,Kitchener,3,0/0,,,,,"$124,900","$120,000",10/13/2009,96.08,22
51,KW0931660,24 Mooregate Crescent #106,Kitchener,2,0/0,1975,,,,"$123,900","$120,500",08/12/2009,97.26,23
52,KW0934523,178 Grulke Street #21,Kitchener,2,0/0,,,,,"$124,900","$120,500",09/11/2009,96.48,24
53,KW0927843,18 Holborn Court #601,Kitchener,2,0/0,,,"1,000",$121.00,"$124,900","$121,000",07/06/2009,96.88,17
54,KW0931290,445 Pioneer Drive #14,Kitchener,2,0/0,1977,,,,"$124,900","$121,000",08/28/2009,96.88,53
55,KW0931399,379 Pioneer Drive #6,Kitchener,2,0/0,1977,,,,"$124,900","$121,000",08/13/2009,96.88,38
56,KW0931892,675 Westmount Road #18,Kitchener,3,0/0,1976,,,,"$128,900","$121,500",08/18/2009,94.26,22
57,KW0934101,266 Overlea Drive #402,Kitchener,2,0/0,,,750,$162.00,"$123,500","$121,500",09/28/2009,98.38,54
58,KW0931716,1414 King Street #1007,Kitchener,1,0/0,1988,,843,$144.72,"$130,000","$122,000",08/11/2009,93.85,22
59,KW0924555,283 Fairway Road #102,Kitchener,2,0/0,,,840,$145.83,"$123,900","$122,500",07/02/2009,98.87,51
60,KW0937710,1100 Courtland Avenue #512,Kitchener,2,0/0,,,,,"$125,900","$122,500",11/24/2009,97.30,66
61,KW0932088,266 Overlea Drive #111,Kitchener,2,0/0,1989,,750,$164.00,"$126,000","$123,000",08/21/2009,97.62,21
62,KW0937750,283 Fairway Road #504,Kitchener,2,0/0,1969,,840,$147.62,"$126,900","$123,999",10/07/2009,97.71,16
63,KW0934290,30 Hugo Crescent #206,Kitchener,2,0/0,1991,,880,$140.91,"$127,500","$124,000",10/30/2009,97.25,83
