,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1192669,31 Upper Mercer Street #LT 23,Kitchener,3,3/0,,,"1,789",,"$359,999",,06/24/2011,0.00,9
1,CA1194954,175 Hollyridge Crescent,Kitchener,3,3/0,2001,,"1,791",$0.87,"$334,900","$1,550",10/19/2011,0.46,22
2,KW1127698,75 Hazelglen Drive #305,Kitchener,2,0/0,,,,,"$148,900","$5,994",07/08/2011,4.03,28
3,KW1125064,30 Blue Springs Drive #PH4,Waterloo,2,0/0,,,"1,285",$4.67,"$214,900","$6,000",06/21/2011,2.79,28
4,KW1141769,165 Duke Street #320,Kitchener,2,0/0,2006,,"1,294",$7.41,"$284,900","$9,594",11/17/2011,3.37,29
5,KW1127976,580 Beaver Creek Road #266,Waterloo,1,0/0,1991,,860,$11.63,"$10,000","$10,000",11/18/2011,100.00,154
6,KW1128263,18 Holborn Court #509,Kitchener,2,0/0,,,,,"$125,000","$10,500",07/08/2011,8.40,14
7,KW1128176,64 Benton Street #1105,Kitchener,1,0/0,,,600,$21.00,"$129,900","$12,600",08/07/2011,9.70,48
8,KW1137949,515 Weber Street #B,Waterloo,2,0/0,,,,,"$169,000","$13,200",10/24/2011,7.81,29
9,KW1128091,519 Banffshire Crescent,Kitchener,3,0/0,2011,,"1,470",$11.02,"$269,900","$16,200",07/06/2011,6.00,14
10,KW1137973,22 Tudor Street,Kitchener,3,0/0,,,"1,551",$10.83,"$264,900","$16,800",10/12/2011,6.34,15
11,KW1141492,49 Dietz Avenue,Waterloo,3,0/0,1953,,,,"$290,000","$16,800",10/24/2011,5.79,11
12,KW1141384,849 Laurelwood Drive,Waterloo,4,0/0,2008,,"1,590",$10.94,"$329,900","$17,400",11/16/2011,5.27,36
13,KW1131524,53 Yarrow Court,Kitchener,4,0/0,2005,,"2,800",$6.64,"$459,900","$18,600",08/15/2011,4.04,33
14,KW1135072,15 Tudor Street,Kitchener,3,0/0,2008,,"1,695",$10.97,"$329,000","$18,600",11/14/2011,5.65,76
15,KW1121381,101 Grand River Boulevard,Kitchener,3,0/0,1973,,,,"$349,900","$19,200",06/27/2011,5.49,80
16,KW1128279,220 Claremont Avenue,Kitchener,2,0/0,1959,,"1,777",$12.61,"$399,900","$22,400",09/19/2011,5.60,84
17,KW1134336,580 Beaver Creek Road #243,Waterloo,2,0/0,1987,,785,$33.12,"$35,000","$26,000",12/06/2011,74.29,105
18,KW1114485,580 Beaver Creek Road #199,Waterloo,2,0/0,1988,,900,$33.33,"$29,800","$30,000",11/18/2011,100.67,280
19,KW1144067,283 Fairway Road #100,Kitchener,1,0/0,1969,,355,$192.96,"$72,900","$68,500",12/19/2011,93.96,21
20,KW1047243,501 Pleasant Bay Court,Waterloo,4,0/0,2003,0.00,"4,070",$20.64,"$1,195,000","$84,000",08/15/2011,7.03,245
21,KW1127941,71 Vanier Drive #303,Kitchener,2,0/0,1977,,,,"$95,000","$89,900",09/12/2011,94.63,85
22,KW1124031,276 King Street #201,Kitchener,2,0/0,,,,,"$99,900","$100,000",07/19/2011,100.10,84
23,KW1114869,18 Holborn Court #506,Kitchener,2,0/0,1990,,,,"$114,900","$105,000",06/28/2011,91.38,125
24,KW1127166,1414 King Street #602,Kitchener,1,0/0,1988,,620,$169.35,"$105,000","$105,000",06/24/2011,100.00,22
25,CA1192585,203 Fairway Road #13,Kitchener,3,2/0,1973,,"1,000",$107.00,"$114,900","$107,000",09/26/2011,93.12,126
26,KW1137383,64 Benton Street #1003,Kitchener,1,0/0,,,600,$178.75,"$114,900","$107,250",11/24/2011,93.34,71
27,KW1127731,1100 Courtland Avenue #215,Kitchener,1,0/0,1974,,,,"$110,000","$108,000",06/24/2011,98.18,9
28,KW1141048,293 Fairway Road #14,Kitchener,2,0/0,1972,,"1,033",$107.94,"$113,000","$111,500",10/21/2011,98.67,26
29,KW1128288,64 Benton Street #805,Kitchener,1,0/0,,,600,$186.67,"$115,500","$112,000",09/19/2011,96.97,86
30,KW1134047,29 West Avenue #609,Kitchener,2,0/0,,,,,"$114,900","$112,000",08/26/2011,97.48,25
31,KW1128064,29 West Avenue #708,Kitchener,2,0/0,,,,,"$115,000","$113,500",07/12/2011,98.70,22
32,KW1138064,279 Chandler Drive #203,Kitchener,2,0/0,,,,,"$112,900","$114,500",10/04/2011,101.42,9
33,KW1127196,18 Holborn Court #112,Kitchener,2,0/0,1990,,"1,000",$115.00,"$124,900","$115,000",07/05/2011,92.07,34
34,KW1137421,29 West Avenue #111,Kitchener,2,0/0,,,,,"$118,700","$115,500",10/03/2011,97.30,24
35,KW1142020,30 Avalon Place #304,Kitchener,2,0/0,,,800,$145.63,"$117,900","$116,500",11/03/2011,98.81,8
36,KW1125043,24 Mooregate Crescent #306,Kitchener,2,0/0,1977,,,,"$119,000","$117,000",08/05/2011,98.32,72
37,KW1137080,64 Benton Street #601,Kitchener,1,0/0,,,600,$195.00,"$123,000","$117,000",10/11/2011,95.12,40
38,KW1137385,30 Avalon Place #303,Kitchener,2,0/0,,,800,$146.25,"$119,900","$117,000",12/12/2011,97.58,73
39,KW1128169,25 Upper Canada Drive #3,Kitchener,3,0/0,,,"1,000",$118.00,"$124,000","$118,000",07/14/2011,95.16,21
40,KW1131285,18 Holborn Court #510,Kitchener,2,0/0,1990,,"1,000",$118.00,"$121,500","$118,000",08/19/2011,97.12,44
41,KW1127956,29 West Avenue #401,Kitchener,3,0/0,,,,,"$119,900","$118,900",07/28/2011,99.17,45
42,KW1135045,30 Hugo Crescent #306,Kitchener,1,0/0,1991,,880,$135.23,"$125,000","$119,000",11/07/2011,95.20,69
43,KW1138109,35 Green Valley Drive #202,Kitchener,1,0/0,,,,,"$124,900","$119,000",12/01/2011,95.28,55
44,KW1131701,225 Harvard Place #901,Waterloo,1,0/0,,,,,"$121,900","$119,600",08/19/2011,98.11,32
45,KW1128140,4 Avalon Place #102,Kitchener,2,0/0,1978,,,,"$122,700","$120,000",09/09/2011,97.80,81
46,KW1138107,266 Overlea Drive #401,Kitchener,2,0/0,1989,,732,$163.93,"$122,500","$120,000",10/20/2011,97.96,28
47,KW1144177,312 Bluevale Street #C,Waterloo,3,0/0,,,,,"$115,000","$121,500",11/14/2011,105.65,11
48,KW1128126,65 Westmount Road #607,Waterloo,1,0/0,1975,,,,"$129,900","$121,750",08/23/2011,93.73,62
49,KW1128253,1100 Courtland Avenue #1009,Kitchener,2,0/0,1974,,,,"$128,900","$122,000",07/26/2011,94.65,33
50,KW1137116,18 Holborn Court #104,Kitchener,2,0/0,,,,,"$123,500","$122,000",09/23/2011,98.79,17
51,KW1127195,283 Fairway Road #506,Kitchener,2,0/0,1969,,840,$146.43,"$125,000","$123,000",09/16/2011,98.40,105
52,KW1134164,1100 Courtland Avenue #214,Kitchener,2,0/0,1974,,,,"$129,900","$123,000",09/24/2011,94.69,52
53,KW1134268,18 Holborn Court #306,Kitchener,2,0/0,,,"1,000",$123.00,"$127,500","$123,000",09/07/2011,96.47,33
54,KW1144664,18 Holborn Court #301,Kitchener,2,0/0,,,,,"$130,000","$123,000",12/12/2011,94.62,17
55,KW1131446,6 Walton Avenue #207,Kitchener,3,0/0,1975,,,,"$126,900","$124,000",08/10/2011,97.71,31
56,KW1137907,100 Breckenridge Drive #304,Kitchener,2,0/0,1973,,836,$149.52,"$129,900","$125,000",10/21/2011,96.23,31
57,KW1141962,30 Bridge Street #104,Kitchener,2,0/0,,,800,$156.25,"$126,900","$125,000",12/23/2011,98.50,27
58,KW1127286,64 Benton Street #1004,Kitchener,1,0/0,,,,,"$127,900","$125,200",06/28/2011,97.89,26
59,CA1192528,423 Westwood Drive #25,Kitchener,2,2/0,1973,,992,$127.02,"$134,900","$126,000",07/19/2011,93.40,61
60,KW1121813,8 Macville Avenue,Kitchener,1,0/0,,,,,"$139,900","$126,000",06/22/2011,90.06,65
61,KW1124957,18 Holborn Court #212,Kitchener,2,0/0,,,"1,000",$126.00,"$131,000","$126,000",07/06/2011,96.18,51
62,KW1125282,1100 Courtland Avenue #514,Kitchener,2,0/0,1974,,,,"$130,000","$126,000",06/29/2011,96.92,30
63,KW1137992,1100 Courtland Avenue #608,Kitchener,2,0/0,1974,,,,"$129,900","$126,000",10/07/2011,97.00,11
64,KW1134069,55 Green Valley Drive #1207,Kitchener,1,0/0,,,,,"$129,900","$126,500",10/03/2011,97.38,69
65,KW1134558,35 Breckenridge Drive #3,Kitchener,2,0/0,,,,,"$139,555","$127,000",11/14/2011,91.00,94
66,KW1137503,35 Breckenridge Drive #73,Kitchener,2,0/0,,,,,"$134,555","$127,000",11/14/2011,94.39,62
67,KW1141762,450 Pioneer Drive #9,Kitchener,3,0/0,1976,,,,"$134,900","$127,000",11/24/2011,94.14,32
68,KW1144779,225 Harvard Place #712,Waterloo,1,0/0,1974,,660,$192.42,"$129,900","$127,000",12/12/2011,97.77,17
69,KW1122023,225 Harvard Place #406,Waterloo,1,0/0,1974,,690,$184.78,"$134,900","$127,500",09/19/2011,94.51,132
70,KW1118198,25 Thaler Avenue #12,Kitchener,3,0/0,1977,,,,"$129,900","$128,000",09/22/2011,98.54,177
71,KW1137653,18 Holborn Court #207,Kitchener,2,0/0,1990,,953,$134.84,"$128,500","$128,500",10/11/2011,100.00,22
72,KW1144746,1100 Courtland Avenue #505,Kitchener,2,0/0,1974,,,,"$132,900","$129,500",12/08/2011,97.44,15
73,KW1131470,14 Williamsburg Road #48,Kitchener,3,0/0,,,,,"$139,900","$129,900",08/29/2011,92.85,49
74,KW1141318,225 Harvard Place #603,Waterloo,2,0/0,,,,,"$129,000","$130,000",10/31/2011,100.78,28
75,KW1137929,225 Harvard Place #401,Waterloo,1,0/0,1975,,,,"$130,000","$130,100",10/14/2011,100.08,18
76,KW1138013,329 Northlake Drive #5,Waterloo,2,0/0,1988,,,,"$129,900","$130,575",10/07/2011,100.52,15
77,KW1137623,18 Holborn Court #310,Kitchener,2,0/0,,,"1,000",$131.00,"$134,000","$131,000",10/21/2011,97.76,35
78,KW1127527,1085 Queen's Boulevard #17,Kitchener,3,0/0,,,"1,500",$88.00,"$139,900","$132,000",08/31/2011,94.35,85
79,KW1134662,18 Holborn Court #401,Kitchener,2,0/0,,,"1,000",$132.00,"$134,900","$132,000",10/13/2011,97.85,57
80,KW1137034,6 Walton Avenue #105,Kitchener,2,0/0,1975,,"1,035",$127.54,"$135,500","$132,000",09/20/2011,97.42,22
81,KW1144609,565 Greenfield Avenue #302,Kitchener,2,0/0,,,,,"$134,900","$132,500",12/11/2011,98.22,19
82,KW1127808,375 Pioneer Drive #7,Kitchener,2,0/0,,,,,"$136,900","$133,000",09/07/2011,97.15,84
83,KW1127881,35 Breckenridge Drive #38,Kitchener,2,0/0,1972,,990,$134.34,"$139,555","$133,000",10/19/2011,95.30,131
84,KW1137051,565 Greenfield Avenue #301,Kitchener,2,0/0,,,,,"$135,000","$133,000",10/21/2011,98.52,53
85,KW1134736,320 Traynor Avenue #16,Kitchener,2,0/0,,,,,"$139,900","$133,500",09/13/2011,95.43,25
86,KW1127785,119 Cedar Street #8,Kitchener,2,0/0,1994,,750,$179.87,"$134,900","$134,900",08/05/2011,100.00,54
87,CA1193872,217 Pioneer Drive,Kitchener,3,2/0,1977,,"1,020",$132.35,"$139,900","$135,000",08/15/2011,96.50,16
88,KW1124157,25 Upper Canada Drive #15,Kitchener,3,0/0,,,,,"$141,900","$135,000",07/04/2011,95.14,63
89,KW1124527,335 Northlake Drive #2,Waterloo,2,0/0,1988,,800,$168.75,"$138,000","$135,000",07/27/2011,97.83,78
90,KW1131809,24 Midland Drive #104,Kitchener,2,0/0,,,,,"$139,900","$135,000",09/13/2011,96.50,55
91,KW1144813,35 Green Valley Drive #307,Kitchener,1,0/0,1991,,695,$194.24,"$139,000","$135,000",12/15/2011,97.12,21
92,KW1127970,283 Fairway Road #205,Kitchener,2,0/0,,,,,"$137,900","$135,900",10/12/2011,98.55,114
93,CA1192687,165 Green Valley Drive #57,Kitchener,4,1/0,,,"1,050",$129.52,"$141,900","$136,000",07/20/2011,95.84,55
94,KW1127181,565 Greenfield Avenue #410,Kitchener,2,0/0,,,,,"$146,000","$136,000",11/22/2011,93.15,180
95,KW1128262,565 Greenfield Avenue #605,Kitchener,2,0/0,1984,,800,$170.00,"$140,000","$136,000",08/04/2011,97.14,37
96,KW1127847,65 Highland Crescent #503,Kitchener,1,0/0,,,,,"$134,900","$136,500",09/12/2011,101.19,92
97,XB31054,65 HIGHLAND Crescent #503,Kitchener,1,1/0,,,,,"$134,900","$136,500",09/13/2011,101.19,110
98,KW1134300,565 Greenfield Avenue #110,Kitchener,2,0/0,,,,,"$140,000","$136,900",09/29/2011,97.79,56
99,CA1196047,35 Green Valley Drive #602,Kitchener,1,1/0,1990,,820,$167.07,"$133,900","$137,000",12/16/2011,102.32,4
100,KW1124656,385 Pioneer Drive #2,Kitchener,2,0/0,,,,,"$144,900","$138,000",07/19/2011,95.24,70
101,KW1128138,160 Jansen Avenue #30,Kitchener,3,0/0,,,"1,100",$125.45,"$130,000","$138,000",08/26/2011,106.15,63
102,KW1134365,51 Paulander Drive #32,Kitchener,3,0/0,,,,,"$149,900","$138,000",10/26/2011,92.06,83
103,KW1131034,32 Mowat Boulevard #15,Kitchener,3,0/0,,,"1,200",$115.42,"$142,500","$138,500",11/04/2011,97.19,123
104,KW1137076,35 Green Valley Drive #514,Kitchener,1,0/0,1990,,820,$169.39,"$141,900","$138,900",09/30/2011,97.89,32
105,KW1118182,32 Mowat Boulevard #29,Kitchener,3,0/0,,,,,"$142,900","$139,000",07/18/2011,97.27,93
106,KW1127137,70 Lancaster Street,Kitchener,3,0/0,,,,,"$159,900","$139,000",06/17/2011,86.93,17
107,KW1127677,46 Cedarwoods Crescent #55,Kitchener,3,0/0,1979,,"1,050",$132.38,"$145,900","$139,000",09/23/2011,95.27,90
108,KW1131335,32 Mowat Boulevard #21,Kitchener,3,0/0,1974,,"1,200",$115.83,"$145,000","$139,000",10/18/2011,95.86,102
109,KW1144750,565 Greenfield Avenue #712,Kitchener,2,0/0,,,,,"$139,900","$139,000",12/06/2011,99.36,13
110,KW1137873,445 Pioneer Drive #23,Kitchener,2,0/0,,,,,"$139,900","$139,200",10/22/2011,99.50,37
111,KW1128054,55 Green Valley Drive #1114,Kitchener,1,0/0,,,,,"$139,900","$139,500",07/20/2011,99.71,30
112,KW1135014,24 Mooregate Crescent #101,Kitchener,3,0/0,1975,,,,"$139,900","$139,900",09/30/2011,100.00,38
113,CA1192305,10 Ellen Street #303,Kitchener,1,1/0,1990,,602,$232.56,"$146,900","$140,000",07/08/2011,95.30,49
114,CA1195308,3085 Kingsway Drive #46,Kitchener,2,1/0,,,880,$159.09,"$139,900","$140,000",11/04/2011,100.07,4
115,KW1131705,280 Thaler Avenue #19,Kitchener,3,0/0,,,,,"$140,000","$140,000",08/23/2011,100.00,34
116,KW1134028,65 Highland Crescent #508,Kitchener,2,0/0,1989,,980,$142.86,"$144,875","$140,000",11/04/2011,96.64,98
117,KW1134458,55 Green Valley Drive #1002,Kitchener,1,0/0,,,820,$170.73,"$144,900","$140,000",09/27/2011,96.62,48
118,KW1137674,72 Courtland Avenue,Kitchener,3,0/0,,,,,"$158,900","$140,000",11/11/2011,88.11,53
119,KW1144199,565 Greenfield Avenue #309,Kitchener,2,0/0,,,,,"$139,900","$140,000",11/07/2011,100.07,7
120,KW1144806,3227 King Street #105,Kitchener,2,0/0,1990,,"1,050",$133.81,"$146,900","$140,500",12/26/2011,95.64,28
121,KW1131551,50 Howe Drive #18C,Kitchener,1,0/0,2007,,750,$188.00,"$142,900","$141,000",08/26/2011,98.67,43
122,KW1137775,25 Upper Canada Drive #14,Kitchener,3,0/0,,,,,"$142,900","$141,200",10/12/2011,98.81,22
123,KW1127960,399 Pioneer Drive #12,Kitchener,3,0/0,,,,,"$143,500","$141,500",06/29/2011,98.61,9
124,CA1194335,415 Morgan Avenue #38,Kitchener,3,2/0,1974,,"1,100",$129.09,"$149,000","$142,000",10/25/2011,95.30,62
125,KW1127565,24 Midland Drive #404,Kitchener,2,0/0,1970,,,,"$144,900","$142,500",06/24/2011,98.34,18
126,KW1134163,975 Strasburg Road #23A,Kitchener,1,0/0,,,,,"$149,900","$142,585",08/29/2011,95.12,35
127,KW1125022,165 Green Valley Drive #80,Kitchener,3,0/0,1975,,,,"$145,000","$143,000",06/28/2011,98.62,36
128,KW1128142,3085 Kingsway Drive #61,Kitchener,2,0/0,,,,,"$152,900","$143,000",09/27/2011,93.53,96
129,KW1134093,50 Howe Drive #6C,Kitchener,1,0/0,2007,,755,$190.07,"$145,500","$143,500",09/16/2011,98.63,45
130,KW1134219,500 Westmount Road #407,Kitchener,1,0/0,,,"1,004",$143.43,"$149,900","$144,000",09/16/2011,96.06,45
131,KW1141447,1100 Courtland Avenue #203,Kitchener,3,0/0,1976,,"1,173",$122.76,"$145,000","$144,000",10/21/2011,99.31,12
132,KW1114690,975 Strasburg Road #20A,Kitchener,1,0/0,,,,,"$149,900","$144,900",07/26/2011,96.66,159
133,KW1124337,38 Howe Drive #12B,Kitchener,2,0/0,2011,,650,$223.08,"$148,900","$145,000",06/23/2011,97.38,53
134,KW1127502,169 Elm Ridge Drive #1,Kitchener,3,0/0,,,,,"$149,900","$145,000",07/26/2011,96.73,49
135,KW1131499,24 Midland Drive #601,Kitchener,2,0/0,,,,,"$149,900","$145,000",07/27/2011,96.73,15
136,KW1134632,80 Old Country Drive #37,Kitchener,3,0/0,1975,,,,"$150,000","$145,000",09/08/2011,96.67,23
137,KW1134665,121 Morgan Avenue #21,Kitchener,3,0/0,1979,,"1,100",$131.82,"$147,900","$145,000",10/05/2011,98.04,51
138,KW1137281,175 Siebert Avenue #17,Kitchener,3,0/0,1982,,"1,240",$116.94,"$147,000","$145,000",11/01/2011,98.64,56
139,KW1141550,3227 King Street #406,Kitchener,2,0/0,1990,,"1,029",$140.91,"$155,000","$145,000",10/28/2011,93.55,18
140,KW1141686,415 Morgan Avenue #52,Kitchener,2,0/0,,,,,"$149,900","$145,000",10/31/2011,96.73,13
141,CA1193304,335 Northlake Drive #9,Waterloo,2,1/0,1988,,800,$182.50,"$147,900","$146,000",07/22/2011,98.72,22
142,KW1144014,3085 Kingsway Drive #51,Kitchener,1,0/0,1989,,,,"$159,900","$146,000",12/09/2011,91.31,21
143,KW1127825,500 Westmount Road #101,Kitchener,2,0/0,1991,,"1,100",$133.18,"$150,000","$146,500",07/05/2011,97.67,19
144,KW1137073,249 Cedarbrae Avenue #9,Waterloo,2,0/0,,,,,"$156,900","$146,999",11/16/2011,93.69,75
145,KW1121429,316 Bluevale Street #A,Waterloo,2,0/0,,,,,"$154,900","$147,000",09/16/2011,94.90,162
146,KW1124044,227 Fergus Avenue,Kitchener,2,0/0,1968,,960,$153.13,"$149,900","$147,000",07/15/2011,98.07,80
147,KW1125139,178 Grulke Street #7,Kitchener,3,0/0,1976,,"1,100",$133.64,"$149,900","$147,000",08/08/2011,98.07,77
148,KW1131178,50 Howe Drive #10D,Kitchener,1,0/0,,,755,$194.70,"$149,000","$147,000",07/22/2011,98.66,20
149,KW1131442,260 Sheldon Avenue #211,Kitchener,2,0/0,,,,,"$149,900","$147,000",09/16/2011,98.07,70
150,KW1131015,15 Hofstetter Avenue #313,Kitchener,2,0/0,1990,,,,"$147,900","$147,400",08/08/2011,99.66,41
