,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1294378,45 Westmount Road #104,Waterloo,1,1/0,1961,,512,$1.94,"$139,900",$995,09/13/2012,0.71,16
1,CA1294276,110 Highland Road #112,Kitchener,3,3/0,2010,,"1,705",$0.85,"$287,900","$1,450",10/03/2012,0.50,43
2,CA1294023,446 Deer Ridge Drive,Kitchener,4,4/0,2004,,"2,815",$0.99,"$749,900","$2,800",09/27/2012,0.37,57
3,KW1237095,580 Beaver Creek Road #193,Waterloo,1,0/0,1986,,756,$9.26,"$10,000","$7,000",10/05/2012,70.00,31
4,KW1235004,50 Blue Springs Drive #62,Waterloo,1,0/0,1980,,"1,485",$6.06,"$265,900","$9,000",11/12/2012,3.38,72
5,KW1221048,276 King Street #310,Kitchener,2,0/0,2005,,803,$16.44,"$139,900","$13,200",06/19/2012,9.44,78
6,KW1234607,305 Briarmeadow Drive #11,Kitchener,3,0/0,2011,,,,"$289,900","$13,200",11/14/2012,4.55,90
7,KW1212209,276 King Street #205,Kitchener,1,0/0,,,883,$15.63,"$194,900","$13,800",07/18/2012,7.08,176
8,KW1231703,410 King Street #307,Kitchener,1,0/0,2008,,850,$19.76,"$222,000","$16,800",09/06/2012,7.57,51
9,KW1241717,326 Dearborn Boulevard,Waterloo,3,0/0,2004,,,,"$295,000","$17,000",10/23/2012,5.76,5
10,KW1221823,854 Butternut Avenue #B,Waterloo,3,0/0,1999,,,,"$269,900","$17,400",06/28/2012,6.45,97
11,KW1227760,626 Royal Fern Street,Waterloo,3,0/0,2002,,,,"$279,900","$17,400",07/28/2012,6.22,47
12,KW1218012,278 Erb Street,Waterloo,4,0/0,,,,,"$297,000","$18,000",06/18/2012,6.06,88
13,KW1221010,469 Parkwood Court,Waterloo,4,0/0,1966,,,,"$429,900","$19,000",10/10/2012,4.42,194
14,KW1234514,831 Laurelwood Drive,Waterloo,4,0/0,2008,,"1,700",$11.29,"$348,800","$19,188",08/20/2012,5.50,5
15,KW1227891,84 Frankfurt Street,Kitchener,2,0/0,,,"1,250",$15.36,"$369,900","$19,200",08/08/2012,5.19,52
16,KW1227105,634 Violet Street,Waterloo,3,0/0,2006,,"1,795",$11.03,"$359,900","$19,800",11/08/2012,5.50,158
17,KW1228325,613 Breakwater Crescent,Waterloo,3,0/0,2002,,,,"$364,900","$20,400",08/14/2012,5.59,47
18,KW1227846,191 King Street #1109,Waterloo,2,0/0,,,,,"$366,600","$21,000",07/24/2012,5.73,36
19,KW1231447,488 Scotchmere Court,Waterloo,3,0/0,1986,,,,"$349,900","$21,600",08/15/2012,6.17,36
20,KW1222099,250 Glenridge Drive #403,Waterloo,3,0/0,,,"1,970",$11.27,"$379,900","$22,200",07/18/2012,5.84,83
21,KW1228138,53 Yarrow Court,Kitchener,4,0/0,2005,,"2,800",$8.14,"$464,900","$22,800",08/31/2012,4.90,66
22,KW1225164,615 Pinery Trail,Waterloo,4,0/0,2009,,"2,667",$9.45,"$499,900","$25,200",08/27/2012,5.04,94
23,KW1231265,10 Sims Estate Place,Kitchener,3,0/0,,0.00,,,"$689,900","$25,800",10/11/2012,3.74,98
24,KW1222234,191 King Street #911,Waterloo,2,0/0,,,"1,418",$18.62,"$499,900","$26,400",07/26/2012,5.28,91
25,KW1222040,571 Woolgrass Avenue,Waterloo,3,0/0,2007,,"2,200",$14.18,"$574,900","$31,200",06/21/2012,5.43,57
26,KW1241435,191 King Street #1301,Waterloo,2,0/0,2009,,"1,512",$21.43,"$559,900","$32,400",11/05/2012,5.79,26
27,KW1224825,288 Deer Ridge Drive,Kitchener,4,0/0,2002,,"3,200",$11.25,"$799,900","$36,000",07/26/2012,4.50,72
28,KW1234453,265 Weber Street #16,Kitchener,2,0/0,,,,,"$70,000","$55,000",12/17/2012,78.57,126
29,KW1234658,265 Weber Street #14,Kitchener,2,0/0,1948,,,,"$72,900","$66,500",11/06/2012,91.22,66
30,KW1234996,56 Meadowbrook Drive,Kitchener,4,0/0,1969,,"2,269",$31.73,"$369,000","$72,000",10/29/2012,19.51,61
31,KW1231388,279 Chandler Drive #410,Kitchener,2,0/0,1973,,930,$109.68,"$109,500","$102,000",11/06/2012,93.15,118
32,KW1224444,30 Avalon Place #112,Kitchener,2,0/0,,,793,$131.15,"$110,000","$104,000",06/22/2012,94.55,45
33,KW1232212,64 Benton Street #902,Kitchener,1,0/0,1976,,600,$178.33,"$110,000","$107,000",10/02/2012,97.27,66
34,KW1234381,29 West Avenue #108,Kitchener,2,0/0,1970,,820,$132.93,"$109,900","$109,000",08/31/2012,99.18,20
35,KW1237026,30 Avalon Place #109,Kitchener,2,0/0,1983,,793,$138.08,"$112,900","$109,500",09/24/2012,96.99,20
36,CA1293122,29 West Avenue #311,Kitchener,2,1/0,,,700,$157.14,"$112,900","$110,000",07/09/2012,97.43,12
37,KW1144803,30 Avalon Place #207,Kitchener,1,0/0,,,,,"$113,500","$110,000",06/21/2012,96.92,206
38,KW1232035,279 Chandler Drive #601,Kitchener,2,0/0,1973,,,,"$112,900","$110,000",08/23/2012,97.43,29
39,KW1237205,30 Avalon Place #111,Kitchener,2,0/0,,,,,"$115,900","$111,500",11/01/2012,96.20,57
40,KW1225163,279 Chandler Drive #610,Kitchener,2,0/0,1973,,,,"$114,900","$112,500",07/10/2012,97.91,47
41,KW1225220,17 Rutherford Drive,Kitchener,2,0/0,,,,,"$119,900","$112,500",07/17/2012,93.83,55
42,KW1237982,279 Chandler Drive #703,Kitchener,2,0/0,1973,,958,$119.00,"$116,900","$114,000",11/22/2012,97.52,58
43,KW1247232,30 Avalon Place #316,Kitchener,1,0/0,,,,,"$120,000","$114,000",12/22/2012,95.00,11
44,KW1224664,293 Fairway Road #12,Kitchener,2,0/0,1972,,"1,033",$111.81,"$119,980","$115,500",06/18/2012,96.27,37
45,KW1241095,18 Holborn Court #106,Kitchener,2,0/0,,,,,"$119,900","$116,000",10/15/2012,96.75,11
46,CA1295012,64 Benton Street #1402,Kitchener,1,1/0,,,600,$194.83,"$119,900","$116,900",11/09/2012,97.50,24
47,KW1221931,4 Avalon Place #206,Kitchener,2,0/0,,,800,$146.88,"$119,900","$117,500",06/29/2012,98.00,66
