,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1593185,250 Apple Hill Crescent #5,Kitchener,3,3/0,2014,,"1,430",$0.94,"$322,900","$1,350",07/02/2015,0.42,17
1,30501738,525 Westvale Drive,Waterloo,3,1/1,1987,,"1,086",$1.29,"$1,400","$1,400",11/27/2015,100.00,42
2,CA1593910,58 Breckenridge Drive,Kitchener,3,1/1,,,"1,200",$1.17,"$274,900","$1,400",07/28/2015,0.51,7
3,CA1594185,191 King Street #1204,Waterloo,2,2/0,,,"1,037",$2.07,"$459,000","$2,150",09/10/2015,0.47,35
4,KW1527336,275 Eiwo Court #305,Waterloo,2,0/0,,,866,$16.63,"$199,900","$14,400",09/02/2015,7.20,90
5,KW1531738,271 Eiwo Court #201,Waterloo,3,0/0,,,966,$15.53,"$206,900","$15,000",08/19/2015,7.25,34
6,KW1531936,513 Weber Street #F,Waterloo,2,0/0,1973,,,,"$189,900","$15,000",09/01/2015,7.90,40
7,KW1524956,255 Keats Way #306,Waterloo,2,0/0,2003,,"1,326",$13.12,"$349,900","$17,400",08/28/2015,4.97,102
8,KW1537052,4 Willow Street #108,Waterloo,2,2/0,,,"1,400",$12.43,"$314,900","$17,400",10/20/2015,5.53,50
9,KW1527676,150 Wellington Street,Kitchener,3,0/0,1885,,,,"$324,900","$19,200",07/15/2015,5.91,33
10,KW1522190,465 Columbia Street #4,Waterloo,2,0/0,,,,,"$319,900","$22,035",07/14/2015,6.89,80
11,KW1524400,278 Thomas Slee Drive,Kitchener,4,0/0,2013,,,,"$499,900","$28,800",08/11/2015,5.76,96
12,KW1532067,84 Westmeadow Drive #16,Kitchener,3,0/0,2002,,"1,347",$24.05,"$240,000","$32,400",09/17/2015,13.50,51
13,KW1532126,580 Beaver Creek Road #356,Waterloo,2,1/0,1991,,840,$41.67,"$42,000","$35,000",10/19/2015,83.33,82
14,KW1531026,396 Lexington Road,Waterloo,2,0/0,1985,,"2,430",$22.22,"$649,900","$54,000",07/15/2015,8.31,13
15,KW1531544,972 Strasburg Road #1,Kitchener,3,0/0,2007,,,,"$279,900","$54,000",09/02/2015,19.29,50
16,KW1531175,185 Kehl Street #502,Kitchener,2,0/0,,,958,$67.85,"$89,900","$65,000",07/20/2015,72.30,12
17,KW1517465,580 Beaver Creek Rd #359,Waterloo,2,0/0,1995,,,,"$67,500","$66,000",06/17/2015,97.78,99
18,KW1534136,580 Beaver Creek Road #355,Waterloo,2,0/0,1994,,"1,004",$67.63,"$71,900","$67,900",08/17/2015,94.44,9
19,KW1527979,18 Holborn Court #209,Kitchener,2,0/0,,,"1,000",$104.50,"$109,900","$104,500",06/29/2015,95.09,12
20,GU153139,64 BENTON ST #203,Kitchener,1,1/0,1976,,600,$186.67,"$113,000","$112,000",09/27/2015,99.12,107
21,KW1527906,64 Benton Street #203,Kitchener,1,0/0,1976,,600,$186.67,"$113,000","$112,000",09/27/2015,99.12,109
22,KW1537157,1414 King Street #202,Kitchener,1,0/0,1988,,625,$179.20,"$115,000","$112,000",09/18/2015,97.39,14
23,KW1534578,65 Highland Crescent #703,Kitchener,1,1/0,1988,,,,"$124,900","$114,000",11/09/2015,91.27,84
24,KW1531472,67 Breckenridge Drive #208,Kitchener,1,0/0,,,,,"$124,900","$115,000",08/13/2015,92.07,35
25,KW1534378,1414 King Street #101,Kitchener,1,1/0,,,625,$184.00,"$120,000","$115,000",10/23/2015,95.83,72
26,KW1517589,283 Fairway Road #201,Kitchener,2,0/0,,,840,$138.10,"$119,900","$116,000",06/17/2015,96.75,96
27,KW1527546,29 West Avenue #311,Kitchener,2,0/0,,,940,$124.47,"$119,900","$117,000",06/24/2015,97.58,15
28,KW1527708,29 West Avenue #204,Kitchener,2,0/0,1977,,,,"$124,900","$117,000",06/26/2015,93.67,15
29,KW1514592,24 Mooregate Crescent #208,Kitchener,2,0/0,,,600,$196.67,"$127,500","$118,000",07/09/2015,92.55,142
30,CA1592396,64 Benton Street #803,Kitchener,1,1/0,,,600,$198.33,"$119,800","$119,000",06/30/2015,99.33,42
31,KW1527461,18 Holborn Court #208,Kitchener,2,0/0,,,"1,000",$120.00,"$125,000","$120,000",06/29/2015,96.00,17
32,KW1528075,30 Avalon Place #308,Kitchener,2,0/0,,,793,$151.32,"$125,000","$120,000",08/21/2015,96.00,59
33,KW1528134,30 Avalon Place #109,Kitchener,2,0/0,1983,,793,$151.32,"$124,900","$120,000",07/13/2015,96.08,20
34,30503533,8 Macville Avenue,Kitchener,0,0/0,,,377,$331.56,"$99,900","$125,000",11/29/2015,125.13,11
35,CA1593514,30 Hugo Crescent #306,Kitchener,1,1/0,1990,,880,$142.05,"$124,900","$125,000",08/18/2015,100.08,47
36,KW1527875,29 West Avenue #504,Kitchener,2,1/0,,,940,$132.98,"$127,000","$125,000",07/29/2015,98.43,42
37,KW1531189,279 Chandler Drive #409,Kitchener,2,0/0,1973,,,,"$129,900","$125,000",08/10/2015,96.23,37
