,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,GU132621,539 BELMONT AVE W #101,,2,2/0,2011,,"1,307",$1.30,"$345,950","$1,700",08/19/2013,0.49,86
1,CA1393700,953 Banffshire Street,Kitchener,3,4/0,2007,,"2,100",$0.83,"$399,900","$1,750",08/15/2013,0.44,38
2,KW1334602,6 Sassafras Street,Kitchener,3,0/0,2010,,"1,800",$5.67,"$389,900","$10,200",12/02/2013,2.62,107
3,KW1341437,45 Cedarhill Crescent #15D,Kitchener,3,0/0,2007,,"1,392",$10.34,"$199,900","$14,400",11/27/2013,7.20,49
4,KW1344830,20 St George Street #401,Kitchener,2,0/0,,,"1,105",$13.03,"$220,000","$14,400",12/20/2013,6.55,22
5,KW1314519,3 Sims Estate Place #4,Kitchener,3,0/0,2007,,"1,962",$7.65,"$539,500","$15,000",10/31/2013,2.78,259
6,KW1334865,87 Westwood Crescent,Kitchener,3,0/0,,,"1,030",$14.56,"$249,900","$15,000",11/04/2013,6.00,70
7,KW1331883,1460 Highland Road #4H,Kitchener,3,0/0,2011,,"1,234",$13.61,"$265,000","$16,800",08/19/2013,6.34,27
8,KW1337173,289 Hemlock Street,Waterloo,3,0/0,1961,,,,"$449,800","$16,800",11/16/2013,3.73,72
9,KW1327337,375 King Street #1701,Waterloo,3,0/0,,,"1,200",$14.80,"$203,800","$17,760",07/30/2013,8.71,33
10,KW1328224,522 Beechwood Drive #13,Waterloo,3,0/0,1990,,,,"$249,000","$18,000",09/17/2013,7.23,81
11,KW1327456,539 Belmont Avenue #101,Kitchener,2,0/0,2011,,"1,307",$15.61,"$345,950","$20,400",08/22/2013,5.90,75
12,KW1331248,26 Northforest Trail,Kitchener,4,0/0,1987,,,,"$400,000","$20,400",07/16/2013,5.10,12
13,KW1331501,42 Bridgeport Road #507,Waterloo,2,0/0,2010,,"1,016",$21.26,"$398,500","$21,600",08/14/2013,5.42,33
14,KW1332162,704 Brandenburg Boulevard,Waterloo,4,0/0,,,"2,556",$8.45,"$569,000","$21,600",08/29/2013,3.80,30
15,KW1337054,7 Inadale Court,Kitchener,3,0/0,,,,,"$337,500","$26,100",10/11/2013,7.73,38
16,KW1317827,50 Bryan Court #5,Kitchener,3,0/0,,,"2,190",$13.70,"$385,000","$30,000",07/17/2013,7.79,118
17,KW1334532,83 Cranbrook Street,Kitchener,3,0/0,2005,,"2,600",$13.50,"$489,900","$35,100",10/17/2013,7.16,62
18,KW1232013,106 Paige Street,Kitchener,4,0/0,2009,,"3,800",$9.47,"$849,800","$36,000",09/06/2013,4.24,409
19,KW1337470,200 Joseph Schoerg Crescent,Kitchener,3,0/0,,,"2,200",$16.36,"$769,900","$36,000",09/30/2013,4.68,16
20,KW1331406,953 Banffshire Court,Kitchener,3,0/0,2007,,"2,100",$20.00,"$399,900","$42,000",08/16/2013,10.50,38
21,KW1337305,655 Interlaken Drive,Waterloo,3,0/0,2006,,"2,221",$20.00,"$429,000","$44,415",11/11/2013,10.35,70
22,KW1327372,265 Weber Street #8,Kitchener,2,0/0,1948,,,,"$85,000","$78,500",07/05/2013,92.35,28
23,KW1327062,64 Benton Street #1103,Kitchener,1,0/0,,,600,$158.33,"$99,900","$95,000",07/18/2013,95.10,45
24,KW1334877,64 Benton Street #905,Kitchener,1,0/0,,,600,$166.67,"$108,000","$100,000",12/28/2013,92.59,127
25,CA1393555,18 Holborn Court #501,Kitchener,2,2/0,1990,,945,$111.11,"$109,900","$105,000",07/26/2013,95.54,16
26,KW1331778,29 West Avenue #504,Kitchener,2,0/0,,,,,"$119,800","$109,000",08/14/2013,90.98,28
27,KW1337768,29 West Avenue #308,Kitchener,2,0/0,1970,,750,$146.67,"$119,900","$110,000",11/21/2013,91.74,63
28,KW1337532,24 Mooregate Crescent #306,Kitchener,2,0/0,1977,,,,"$118,500","$111,000",12/09/2013,93.67,87
29,KW1332132,1414 King Street #507,Kitchener,1,0/0,1987,,,,"$119,000","$112,000",08/24/2013,94.12,24
30,KW1334738,30 Avalon Place #302,Kitchener,2,0/0,1983,,,,"$114,500","$112,500",09/30/2013,98.25,37
31,KW1325094,18 Holborn Court #508,Kitchener,2,0/0,1990,,"1,000",$113.00,"$115,000","$113,000",07/29/2013,98.26,64
32,KW1327936,64 Benton Street #506,Kitchener,1,0/0,,,600,$189.83,"$114,900","$113,900",08/01/2013,99.13,42
33,KW1328217,64 Benton Street #1406,Kitchener,1,0/0,,,600,$191.67,"$118,900","$115,000",08/14/2013,96.72,45
