,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30591001,45 CEDAR HILL Crescent #5D,Kitchener,3,1/1,,,"1,392",$1.19,"$300,000","$1,650",08/21/2017,0.55,22
1,30597151,64 Benton Street #5A,Kitchener,0,0/0,,,,,"$25,000","$25,000",09/03/2017,100.00,7
2,30586526,580 BEAVER CREEK Road #Lot 11,Waterloo,1,1/0,1989,,660,$133.33,"$89,900","$88,000",07/17/2017,97.89,8
3,30593025,580 BEAVER CREEK Road #Lot 356,Waterloo,1,1/0,1991,,650,$143.08,"$89,900","$93,000",08/19/2017,103.45,12
4,30575708,580 BEAVER CREEK Road #204,Waterloo,2,2/0,1991,0.00,"1,080",$86.57,"$85,000","$93,500",05/29/2017,110.00,11
5,30570533,64 BENTON Street #703,Kitchener,1,1/0,,,700,$167.14,"$118,900","$117,000",06/12/2017,98.40,50
6,30593142,64 Benton Street #806,Kitchener,1,1/0,,,605,$222.31,"$133,500","$134,500",08/22/2017,100.75,14
7,30588151,64 Benton Street #701,Kitchener,1,1/0,1976,,600,$225.00,"$130,000","$135,000",07/29/2017,103.85,13
8,30597824,64 BENTON Street #705,Kitchener,1,1/0,,,600,$225.00,"$134,900","$135,000",09/12/2017,100.07,10
9,30594566,64 Benton Street #403,Kitchener,1,1/0,,,600,$226.67,"$129,900","$136,000",08/20/2017,104.70,7
10,30593416,30 Avalon Place #106,Kitchener,2,1/0,1978,,793,$176.54,"$144,900","$140,000",09/19/2017,96.62,40
11,30589545,71 Vanier Drive #303,Kitchener,2,1/1,,,835,$167.93,"$137,000","$140,220",08/10/2017,102.35,18
12,30575638,64 BENTON Street #804,Kitchener,1,1/0,1976,0.00,600,$235.00,"$135,000","$141,000",05/31/2017,104.44,13
13,30597127,64 Benton Street #1005,Kitchener,1,1/0,,,600,$241.50,"$144,900","$144,900",09/20/2017,100.00,22
14,30584138,71 VANIER Drive #312,Kitchener,2,1/1,,,902,$161.86,"$149,900","$146,000",07/29/2017,97.40,35
15,30596862,18 HOLBORN Court #406,Kitchener,2,2/0,1990,,953,$156.87,"$139,900","$149,500",09/13/2017,106.86,25
16,30577285,65 WESTMOUNT Road #302,Waterloo,2,1/1,1975,,"1,150",$130.43,"$152,900","$150,000",07/06/2017,98.10,42
