,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30542020,41 Valleyview Road #38,Kitchener,1,1/0,1990,,523,$181.64,"$77,000","$95,000",11/21/2016,123.38,53
1,30542953,10 Ellen Street #103,Kitchener,1,1/0,,,425,$263.53,"$115,000","$112,000",11/16/2016,97.39,41
2,30545099,64 BENTON Street #805,Kitchener,1,1/0,,,600,$193.33,"$119,000","$116,000",11/25/2016,97.48,39
3,30535188,119 CEDAR Street #1,Kitchener,2,1/0,1993,,602,$203.49,"$129,900","$122,500",11/01/2016,94.30,79
4,30535611,75 HAZELGLEN Drive #209,Kitchener,2,0/0,,,"1,000",$128.00,"$134,800","$128,000",10/21/2016,94.96,68
5,30542787,4 Avalon Place #305,Kitchener,2,1/0,1978,,806,$161.29,"$124,900","$130,000",10/28/2016,104.08,14
6,30544546,30 Hugo Crescent #308,Kitchener,1,1/0,,,810,$164.20,"$139,900","$133,000",12/30/2016,95.07,57
7,30548138,64 BENTON Street #1202,Kitchener,1,1/0,,,600,$221.67,"$132,000","$133,000",11/16/2016,100.76,16
8,30536147,75 Hazelglen Drive #208,Kitchener,2,1/0,,,"1,135",$118.94,"$139,990","$135,000",12/23/2016,96.44,127
9,30545528,30 AVALON Place #206,Kitchener,2,1/0,,,793,$170.24,"$124,900","$135,000",10/28/2016,108.09,3
10,30546836,30 Avalon Place #310,Kitchener,3,1/0,1978,,900,$150.00,"$139,900","$135,000",12/09/2016,96.50,40
11,30545585,29 WEST Avenue #303,Kitchener,1,1/0,1977,,736,$184.78,"$139,900","$136,000",11/09/2016,97.21,14
12,30549827,71 VANIER Drive #108,Kitchener,2,1/1,,0.00,"1,058",$129.30,"$124,900","$136,800",12/05/2016,109.53,7
13,30542469,71 VANIER Drive #211,Kitchener,2,1/1,,,933,$147.91,"$139,900","$138,000",12/22/2016,98.64,80
14,30548230,283 FAIRWAY Road #302,Kitchener,2,1/0,,,840,$166.67,"$139,999","$140,000",11/28/2016,100.00,15
15,30541562,18 Holborn Court #611,Kitchener,2,2/0,1990,,"1,000",$143.00,"$145,000","$143,000",11/30/2016,98.62,54
16,30542351,29 WEST Avenue #410,Kitchener,2,1/0,1977,,750,$190.80,"$139,900","$143,100",10/19/2016,102.29,16
17,30548542,283 FAIRWAY Road #306,Kitchener,2,1/0,1969,,840,$171.31,"$142,900","$143,900",11/25/2016,100.70,9
18,30542866,65 Highland Crescent #701,Kitchener,2,1/0,1989,,"1,000",$148.00,"$150,000","$148,000",10/25/2016,98.67,18
19,30541133,80 BRECKENRIDGE Drive #208,Kitchener,2,1/1,1978,,827,$179.26,"$151,500","$148,250",11/05/2016,97.85,41
20,30548362,55 Green Valley Drive #1504,Kitchener,1,1/0,1989,,800,$191.57,"$158,500","$153,255",12/07/2016,96.69,23
21,30543150,35 Breckenridge Drive #40,Kitchener,2,1/0,1972,,990,$156.57,"$152,900","$155,000",10/17/2016,101.37,11
22,30537829,18 Holborn Court #211,Kitchener,2,2/0,,,"1,000",$156.00,"$160,000","$156,000",11/15/2016,97.50,36
23,30525898,15 Hofstetter Avenue #213,Kitchener,2,1/1,,,867,$184.54,"$169,900","$160,000",11/15/2016,94.17,80
24,30534620,3267 KING Street #301,Kitchener,2,2/0,1991,,"1,180",$135.59,"$169,900","$160,000",10/30/2016,94.17,82
25,30538969,225 HARVARD Place #1207,Waterloo,2,1/1,,,930,$172.04,"$164,900","$160,000",11/15/2016,97.03,64
26,30543843,32 MOWAT Boulevard #39,Kitchener,3,1/1,1974,,"1,200",$133.33,"$147,900","$160,000",10/31/2016,108.18,20
27,30545316,30 BRIDGE Street #103,Kitchener,2,1/0,1990,,800,$200.00,"$165,000","$160,000",11/09/2016,96.97,16
28,30547614,35 GREEN VALLEY Drive #307,Kitchener,1,1/0,1990,,700,$228.57,"$164,900","$160,000",12/09/2016,97.03,31
29,30534099,35 BRECKENRIDGE Drive #24,Kitchener,2,1/0,,,900,$180.56,"$170,000","$162,500",10/19/2016,95.59,74
30,KW1534707,300 Keats Way #406,Waterloo,2,2/0,1988,,"1,250",$130.40,"$170,000","$163,000",11/18/2016,95.88,461
31,30545410,205 HIGHLAND Crescent #25,Kitchener,1,1/0,,,800,$205.00,"$164,900","$164,000",12/12/2016,99.45,50
32,30524593,35 Green Valley Drive #508,Kitchener,1,1/0,1990,,700,$235.71,"$169,900","$165,000",11/04/2016,97.12,143
33,30544304,178 Grulke Street #13,Kitchener,2,2/0,1973,,927,$180.15,"$169,000","$167,000",11/28/2016,98.82,42
34,30547377,325 NORTHLAKE Drive #8,Waterloo,2,1/0,1988,,800,$211.13,"$169,900","$168,900",11/10/2016,99.41,2
35,30543812,500 Westmount Road #302,Kitchener,2,2/0,1990,,905,$186.74,"$169,900","$169,000",10/21/2016,99.47,8
36,30545708,45 WESTMOUNT Road #408,Waterloo,2,1/0,1961,,"1,102",$153.99,"$170,000","$169,700",11/15/2016,99.82,21
37,30539165,225 Harvard Place #1008,Waterloo,2,1/1,1974,,930,$182.69,"$169,900","$169,900",12/16/2016,100.00,76
38,30541514,165 Green Valley Drive #99,Kitchener,3,1/1,1976,,"1,000",$170.00,"$179,900","$170,000",10/24/2016,94.50,27
39,30543106,35 Green Valley Drive #1614,Kitchener,1,1/0,1990,,820,$207.32,"$170,000","$170,000",10/26/2016,100.00,19
