,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,KW1041037,18 Holborn Court #308,Kitchener,2,0/0,,,,,"$123,900","$118,000",12/22/2010,95.24,84
1,KW1047314,283 Fairway Road #402,Kitchener,2,0/0,,,,,"$134,900","$130,000",12/30/2010,96.37,14
2,KW1044490,283 Fairway Road #103,Kitchener,3,0/0,,,"1,015",$134.92,"$139,950","$136,940",12/30/2010,97.85,43
3,KW1044010,45 Cedarhill Crescent #2C,Kitchener,1,0/0,,,,,"$139,900","$137,000",12/17/2010,97.93,52
4,KW1031748,921 Glasgow Street #D15,Kitchener,1,0/0,,,753,$192.43,"$144,900","$144,900",12/20/2010,100.00,151
5,KW1034346,921 Glasgow Street #8D,Kitchener,1,0/0,,,753,$192.43,"$144,900","$144,900",12/20/2010,100.00,132
6,KW1044783,202 Silver Aspen Crescent,Kitchener,3,0/0,1973,,,,"$149,999","$146,000",12/16/2010,97.33,18
7,KW1047336,144 Jansen Avenue #13,Kitchener,3,0/0,,,,,"$148,800","$146,000",12/30/2010,98.12,14
8,KW1034057,921 Glasgow Street #D22,Kitchener,1,0/0,,,796,$190.20,"$149,900","$151,400",12/29/2010,101.00,155
9,KW1034354,921 Glasgow Street #A25,Kitchener,1,0/0,,,796,$190.20,"$149,900","$151,400",12/29/2010,101.00,141
10,KW1041325,921 Glasgow Street #26D,Kitchener,1,0/0,,,796,$194.60,"$154,900","$154,900",12/20/2010,100.00,74
11,KW1044741,655 Albert Street #J,Waterloo,2,0/0,,,,,"$164,900","$158,000",12/20/2010,95.82,24
12,KW1047211,35 Green Valley Drive #515,Kitchener,2,0/0,1990,,"1,150",$147.83,"$172,900","$170,000",12/24/2010,98.32,14
13,KW1042001,55 Green Valley Drive #903,Kitchener,2,0/0,,,"1,050",$166.67,"$176,900","$175,000",12/16/2010,98.93,49
14,KW1044349,45 Cedarhill Crescent #15A,Kitchener,2,0/0,,,990,$178.79,"$184,900","$177,000",12/29/2010,95.73,49
15,KW1044682,1460 Highland Road #2E,Kitchener,3,0/0,2011,,"1,234",$145.79,"$179,900","$179,900",12/22/2010,100.00,27
16,KW1041868,255 Northlake Drive #14,Waterloo,3,0/0,1985,,"1,250",$144.00,"$184,800","$180,000",12/30/2010,97.40,66
17,KW1034172,353 Victoria Street,Kitchener,4,0/0,,,,,"$190,000","$190,000",12/16/2010,100.00,119
18,KW1041188,7 Cherry Street,Kitchener,3,0/0,1910,,"1,200",$165.00,"$209,900","$198,000",12/20/2010,94.33,76
19,KW1041484,55 Baird Avenue,Kitchener,3,0/0,,,,,"$217,300","$205,000",12/29/2010,94.34,77
20,KW1034042,123 Victoria Street,Kitchener,3,0/0,1902,,"1,615",$127.86,"$220,000","$206,500",12/22/2010,93.86,142
21,KW1041922,921 Glasgow Street #4C,Kitchener,3,0/0,,,"1,517",$138.37,"$209,900","$209,900",12/22/2010,100.00,62
22,KW1041978,921 Glasgow Street #4B,Kitchener,3,0/0,,,"1,517",$138.37,"$209,900","$209,900",12/20/2010,100.00,59
23,KW1047083,921 Glasgow Street #1B,Kitchener,3,0/0,,,"1,457",$144.06,"$209,900","$209,900",12/29/2010,100.00,26
24,KW1047089,921 Glasgow Street #1C,Kitchener,3,0/0,,,"1,457",$144.06,"$209,900","$209,900",12/20/2010,100.00,17
25,KW1034800,115 Sugar Maple Street,Kitchener,3,0/0,1987,,,,"$219,900","$210,000",12/20/2010,95.50,119
26,KW1044520,921 Glasgow Street #44B,Kitchener,3,0/0,,,"1,517",$140.01,"$209,900","$212,400",12/21/2010,101.19,34
27,KW1047079,921 Glasgow Street #42C,Kitchener,3,0/0,,,"1,457",$145.78,"$209,900","$212,400",12/22/2010,101.19,19
28,KW1044563,92 Lorne Crescent,Kitchener,2,0/0,1947,,,,"$219,900","$214,000",12/29/2010,97.32,40
29,KW1044703,42 Green Valley Drive #60,Kitchener,3,0/0,1999,,"1,267",$170.48,"$219,900","$216,000",12/21/2010,98.23,27
30,KW1041241,318 Rosemount Drive,Kitchener,3,0/0,,,,,"$237,900","$225,000",12/24/2010,94.58,79
31,KW1047131,84 Westmeadow Drive #7,Kitchener,3,0/0,2002,,"1,354",$167.65,"$229,900","$227,000",12/23/2010,98.74,17
32,KW1047042,312 Southill Drive,Kitchener,3,0/0,,,"1,040",$222.12,"$236,900","$231,000",12/20/2010,97.51,20
33,KW1044459,975 Strasburg Road #2,Kitchener,3,0/0,2008,,"1,328",$176.20,"$239,900","$234,000",12/16/2010,97.54,30
34,KW1041894,32 Overlea Crescent,Kitchener,3,0/0,1972,,,,"$249,900","$236,000",12/17/2010,94.44,52
35,KW1047199,219 Northlake Drive,Waterloo,3,0/0,1979,,"1,121",$211.37,"$215,500","$236,950",12/24/2010,109.95,16
36,KW1044153,16 Tudor Street,Kitchener,3,0/0,,,"1,461",$164.27,"$249,900","$240,000",12/20/2010,96.04,47
37,CA1094327,105 Pinnacle Drive #75,Kitchener,3,3/0,2008,,"1,465",$165.19,"$249,900","$242,000",12/30/2010,96.84,108
38,KW1037767,91 Tanglewood Avenue,Kitchener,3,0/0,1962,,"1,080",$225.00,"$247,900","$243,000",12/22/2010,98.02,91
39,CA1095130,44 Windale Crescent,Kitchener,3,2/0,1989,,"1,300",$188.85,"$249,900","$245,500",12/17/2010,98.24,36
40,KW1044517,38 Markwood Drive,Kitchener,4,0/0,,,"1,324",$188.44,"$257,900","$249,500",12/30/2010,96.74,43
41,KW1034493,Zeller Crescent #L23,Kitchener,3,0/0,,,"1,300",$192.92,"$255,800","$250,800",12/21/2010,98.05,122
42,KW1037341,23 Thorncliffe Street,Kitchener,3,0/0,1985,,"1,137",$222.08,"$259,000","$252,500",12/24/2010,97.49,105
43,KW1047234,603 Eastbridge Boulevard,Waterloo,3,0/0,2001,,"1,350",$187.41,"$254,900","$253,000",12/24/2010,99.25,11
44,KW1044341,354 University Downs Crescent,Waterloo,3,0/0,,,"1,500",$169.93,"$254,900",,12/17/2010,0.00,36
45,KW1047196,86 Watercress Court,Kitchener,3,0/0,2000,,,,"$259,000","$257,500",12/23/2010,99.42,15
46,KW1034642,318 Westheights Drive,Kitchener,2,0/0,1974,,,,"$269,900","$264,000",12/20/2010,97.81,104
47,CA1095521,197 Auburn Drive #A,Waterloo,3,2/0,1993,,"1,033",$256.53,"$264,900","$265,000",12/21/2010,100.04,7
48,KW1031682,6 Upper Mercer Street #H033,Kitchener,3,0/0,2010,,"1,320",$203.92,"$269,174","$269,174",12/20/2010,100.00,153
49,KW1044797,68 Lorne Crescent,Kitchener,2,0/0,,,"1,600",$168.44,"$274,900","$269,500",12/24/2010,98.04,24
50,CA1094621,28 Dawn Ridge Drive,Kitchener,3,2/0,,,"1,220",$223.77,"$277,000","$273,000",12/23/2010,98.56,80
51,KW1037812,43 Fairbank Place,Kitchener,2,0/0,,,,,"$284,900","$278,000",12/24/2010,97.58,75
52,KW1044354,477 Exmoor Street,Waterloo,3,0/0,1994,,"1,396",$199.86,"$284,900","$279,000",12/24/2010,97.93,44
53,CA1094812,375 Dunvegan Drive,Waterloo,3,2/0,1973,,"1,500",$189.33,"$299,900","$284,000",12/31/2010,94.70,69
54,KW1041055,27 Marketa Crescent,Kitchener,3,0/0,1960,0.00,,,"$288,900","$288,000",12/20/2010,99.69,80
55,KW1044748,619 South Haven Drive,Waterloo,3,0/0,2003,,"1,450",$198.62,"$298,500","$288,000",12/23/2010,96.48,29
56,CA1095245,11 Tottenham Street,Kitchener,3,3/0,2006,,"2,000",$145.00,"$299,900","$290,000",12/21/2010,96.70,32
57,KW1041309,90 Culpepper Drive,Waterloo,3,0/0,1969,,,,"$299,999","$291,500",12/17/2010,97.17,71
58,KW1044380,460 Woolwich Street #24,Waterloo,3,0/0,2001,,"1,925",$153.25,"$299,900","$295,000",12/16/2010,98.37,34
59,KW1034019,195 Vermont Street,Waterloo,3,0/0,,,,,"$305,000","$296,000",12/22/2010,97.05,146
60,KW1044369,218 Pastern Trail,Waterloo,3,0/0,,,,,"$309,900","$298,000",12/20/2010,96.16,39
61,KW1041234,1132 Queen's Boulevard,Kitchener,4,0/0,,,,,"$299,900","$299,900",12/22/2010,100.00,77
62,KW1044367,523 Westheights Drive,Kitchener,3,0/0,,,,,"$304,900","$300,000",12/27/2010,98.39,48
63,KW1047117,163 Cavelletti Court,Waterloo,3,0/0,1997,,,,"$309,900","$300,000",12/16/2010,96.81,10
64,KW1047109,571 Chesapeake Crescent,Waterloo,3,0/0,2000,,,,"$299,900","$301,000",12/16/2010,100.37,10
65,KW1044032,361 Zeller Drive,Kitchener,2,0/0,2008,,"1,441",$214.43,"$309,900","$309,000",12/30/2010,99.71,59
66,KW1037829,106 Mountain Laurel Crescent,Kitchener,4,0/0,2002,,"2,000",$157.50,"$322,500","$315,000",12/20/2010,97.67,85
67,KW1044282,360 Erbsville Road #22,Waterloo,2,0/0,2002,,"1,150",$278.26,"$334,850","$320,000",12/22/2010,95.57,43
68,KW1047225,79 Wren Place,Kitchener,3,0/0,1968,,,,"$329,900","$322,500",12/30/2010,97.76,19
69,KW1032029,97 Craig Drive,Kitchener,2,0/0,1964,,,,"$339,900","$328,000",12/16/2010,96.50,140
70,KW1044743,89 Deerfield Avenue,Kitchener,3,0/0,,,"2,480",$134.07,"$345,000","$332,500",12/29/2010,96.38,33
71,KW1041491,664 Coldstream Drive,Waterloo,3,0/0,1998,,,,"$365,000","$334,500",12/30/2010,91.64,79
72,BD1009189,524 HIDDEN CREEK Drive,Kitchener,4,2/1,1998,,"1,719",$196.04,"$346,900","$337,000",12/18/2010,97.15,24
73,KW1044695,524 Hidden Creek Drive,Kitchener,4,0/0,1998,,"1,720",$195.93,"$346,900","$337,000",12/21/2010,97.15,28
74,KW1027208,Woodbine Avenue #L40,Kitchener,3,0/0,,,"1,970",$171.07,"$314,900","$337,009",12/23/2010,107.02,211
