,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30560208,8 Chestnut Street #2,Kitchener,3,1/1,,,"1,000",$1.65,"$1,650","$1,650",03/13/2017,100.00,12
1,30557958,119 CEDAR Street #4,Kitchener,2,1/0,1993,,602,$182.72,"$114,900","$110,000",03/23/2017,95.74,36
2,30565855,279 Chandler Drive #106,Kitchener,1,1/0,1975,0.00,759,$145.06,"$99,900","$110,100",04/06/2017,110.21,2
3,30552496,119 CEDAR Street #3,Kitchener,2,1/0,1993,,602,$189.37,"$119,900","$114,000",03/29/2017,95.08,83
4,30544566,71 Vanier Drive #110,Kitchener,2,1/0,1976,,835,$137.72,"$122,500","$115,000",01/31/2017,93.88,48
5,30552290,64 BENTON Street #402,Kitchener,1,1/0,,,600,$191.67,"$118,000","$115,000",04/12/2017,97.46,104
6,30552494,119 CEDAR Street #2,Kitchener,2,1/0,1993,,602,$191.03,"$119,900","$115,000",03/23/2017,95.91,77
7,30545610,279 CHANDLER Drive #306,Kitchener,1,1/0,1974,,754,$165.92,"$116,900","$125,100",01/20/2017,107.01,41
8,30548888,29 WEST Avenue #211,Kitchener,2,1/0,,,750,$173.33,"$129,900","$130,000",02/06/2017,100.08,82
9,30559540,279 Chandler Drive #705,Kitchener,1,1/0,1974,,759,$171.28,"$129,900","$130,000",03/18/2017,100.08,20
10,30552250,375 King Street #302,Waterloo,3,1/1,1984,,"1,175",$113.19,"$149,900","$133,000",02/03/2017,88.73,34
11,30553938,4 AVALON Place #105,Kitchener,2,1/0,1978,,806,$166.25,"$134,500","$134,000",01/20/2017,99.63,4
12,30564806,30 AVALON Place #212,Kitchener,2,1/0,,,793,$168.98,"$132,000","$134,000",04/11/2017,101.52,13
13,30553268,375 KING Street #403,Waterloo,3,1/1,1984,,"1,100",$123.68,"$147,500","$136,045",02/11/2017,92.23,33
14,30554536,225 HARVARD Place #902,Waterloo,1,1/0,1974,,690,$198.55,"$140,000","$137,000",02/17/2017,97.86,28
15,30568693,71 VANIER Drive #203,Kitchener,2,1/1,,,835,$164.67,"$135,000","$137,500",05/14/2017,101.85,24
