,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30641062,249 CEDARBRAE Avenue #31,Waterloo,2,2/0,1977,,"1,000",$1.25,"$210,000","$1,250",04/07/2018,0.60,34
1,30633757,1430 HIGHLAND Road #18,Kitchener,2,1/0,,,743,$1.82,"$339,900","$1,350",02/23/2018,0.40,32
2,30652719,404 King Street #244,Kitchener,0,0/0,,,180,$133.33,"$25,000","$24,000",05/19/2018,96.00,26
3,30612793,64 BENTON Street #10B,Kitchener,0,0/0,,,180,$147.22,"$33,000","$26,500",02/26/2018,80.30,110
4,30610359,580 Beaver Creek Road #261,Waterloo,1,1/0,1987,,400,$100.00,"$44,900","$40,000",03/23/2018,89.09,89
5,30644389,580 BEAVER CREEK Road #349,Waterloo,1,1/0,1994,,450,$133.33,"$64,900","$60,000",05/29/2018,92.45,71
6,30651884,580 BEAVER CREEK Road #LOT 361Waterloo,,2,1/0,1994,,900,$97.22,"$98,000","$87,500",06/03/2018,89.29,43
7,30644907,580 Beaver Creek Road #356,Waterloo,1,1/0,1991,,800,$123.75,"$99,000","$99,000",05/08/2018,100.00,51
8,30615480,580 Beaver Creek Road #8,Waterloo,2,1/0,1989,,900,$115.56,"$107,000","$104,000",02/25/2018,97.20,94
9,30645360,64 BENTON Street #903,Kitchener,1,1/0,,,703,$150.78,"$109,900","$106,000",05/12/2018,96.45,54
10,30636428,279 CHANDLER Drive #506,Kitchener,1,1/0,1975,,759,$176.55,"$134,900","$134,000",03/01/2018,99.33,21
11,30618443,30 Avalon Place #B1,Kitchener,1,1/0,1978,,570,$236.84,"$134,500","$135,000",01/17/2018,100.37,30
12,30631028,64 BENTON Street #406,Kitchener,1,1/0,,,600,$236.67,"$146,000","$142,000",01/30/2018,97.26,23
13,30641087,279 Chandler Drive #608,Kitchener,1,1/0,,,759,$189.72,"$148,000","$144,000",04/03/2018,97.30,29
14,30616955,45 WESTMOUNT Road #105,Waterloo,0,1/0,,,512,$286.91,"$149,900","$146,900",01/15/2018,98.00,35
15,30643839,279 Chandler Drive #306,Kitchener,1,1/0,1974,,754,$196.29,"$145,000","$148,000",04/03/2018,102.07,13
16,30619245,100 Breckenridge Drive #303,Kitchener,1,1/0,,,720,$206.94,"$149,900","$149,000",01/16/2018,99.40,15
17,30649345,10 ELLEN Street #103,Kitchener,1,1/0,1989,,425,$350.59,"$149,800","$149,000",05/11/2018,99.47,28
18,30643093,30 AVALON Place #305,Kitchener,2,0/0,1978,,739,$202.98,"$169,900","$150,000",03/28/2018,88.29,17
19,30637239,375 KING Street #805,Waterloo,2,2/0,,,"1,175",$131.91,"$173,000","$155,000",03/23/2018,89.60,42
20,30619560,65 Westmount Road #402,Waterloo,2,1/1,1975,,"1,150",$138.26,"$159,000","$159,000",01/29/2018,100.00,26
21,30643717,375 KING Street #105,Waterloo,2,1/0,1982,,844,$188.39,"$165,000","$159,000",04/17/2018,96.36,17
22,30593610,356 Arnold Street,Kitchener,3,1/0,,,"1,200",$133.33,"$200,000","$160,000",01/03/2018,80.00,141
23,30636667,206 GREEN VALLEY Drive #10,Kitchener,3,1/1,,,"1,150",$139.13,"$200,000","$160,000",02/09/2018,80.00,4
24,30647559,67 BRECKENRIDGE Drive #303,Kitchener,1,1/0,,,728,$222.53,"$165,000","$162,000",04/19/2018,98.18,16
25,30646806,375 KING Street #405,Waterloo,3,1/1,1982,,"1,175",$140.43,"$165,000","$165,000",04/17/2018,100.00,16
26,30646899,18 HOLBORN Court #510,Kitchener,2,2/0,1990,,971,$169.93,"$165,000","$165,000",04/10/2018,100.00,7
27,30651518,30 BRIDGE Street #101,Kitchener,2,1/0,,,800,$206.25,"$174,900","$165,000",05/19/2018,94.34,29
28,30653091,65 WESTMOUNT Road #412,Waterloo,2,1/1,,,"1,200",$137.50,"$175,000","$165,000",05/24/2018,94.29,29
