,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1493514,1372 Queen Boulevard,Kitchener,5,3/0,,,"1,650",$1.09,"$369,000","$1,800",09/17/2014,0.49,65
1,CA1495685,3 Castlebay Street,Kitchener,4,3/0,,,"2,600",$0.73,"$483,900","$1,900",12/16/2014,0.39,31
2,CA1494743,599 Manorwood Court,Waterloo,4,3/0,1987,,"3,540",$0.99,"$939,900","$3,500",11/02/2014,0.37,41
3,KW1441256,112 Benton Street #309,Kitchener,2,0/0,,,"1,209",$9.43,"$389,000","$11,400",11/26/2014,2.93,50
4,KW1432302,205 Highland Crescent #40,Kitchener,3,0/0,1988,,"1,315",$10.86,"$199,999","$14,280",08/19/2014,7.14,21
5,KW1424510,513 Weber Street #F,Waterloo,2,1/0,1973,,,,"$183,900","$15,000",07/10/2014,8.16,62
6,KW1427238,3227 King Street #1008,Kitchener,2,1/0,1991,,"1,050",$14.86,"$182,000","$15,600",07/21/2014,8.57,48
7,KW1427533,1460 Highland Road #H4,Kitchener,3,1/0,2011,,"1,234",$12.64,"$255,000","$15,600",08/13/2014,6.12,65
8,KW1441912,130 Courtland Avenue,Kitchener,3,0/0,,,,,"$259,900","$15,600",10/31/2014,6.00,13
9,KW1428208,112 Benton Street #421,Kitchener,1,2/1,,,803,$21.07,"$289,500","$16,920",07/22/2014,5.84,28
10,KW1434266,105 Sims Estate Drive,Kitchener,3,0/0,2010,,"1,630",$11.01,"$314,900","$17,940",09/30/2014,5.70,53
11,KW1441294,266 Benesfort Crescent,Kitchener,3,0/0,1990,,,,"$274,900","$17,940",12/19/2014,6.53,74
12,KW1437383,242 Woodhaven Road #B,Kitchener,4,0/0,2007,,"2,197",$8.47,"$438,900","$18,600",11/24/2014,4.24,77
13,KW1417697,255 Keats Way #307,Waterloo,2,2/0,2003,,"1,605",$11.96,"$334,700","$19,200",07/28/2014,5.74,133
