,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30674265,324 TEALBY Crescent,Waterloo,3,2/1,2013,,"2,317",$1.06,"$2,500","$2,450",07/20/2018,98.00,
1,30691415,25 HOMEWOOD Avenue,Kitchener,5,3/0,,,"3,173",$1.26,"$4,000","$4,000",10/15/2018,100.00,
2,30680273,580 BEAVER CREEK Road #Lot 355,Waterloo,2,1/0,1994,,750,$124.67,"$96,500","$93,500",11/15/2018,96.89,81
3,XH4037162,64 Benton Street #1101,Kitchener,1,1/0,,,600,$165.00,"$119,900","$99,000",10/02/2018,82.57,18
4,30664004,64 BENTON Street #602,Kitchener,1,1/0,1976,,600,$200.00,"$129,900","$120,000",06/20/2018,92.38,16
5,30681825,64 BENTON Street #1102,Kitchener,1,1/0,,,600,$220.83,"$148,900","$132,500",10/05/2018,88.99,38
6,30673940,64 BENTON Street #802,Kitchener,1,1/0,,,600,$237.50,"$148,000","$142,500",08/07/2018,96.28,20
7,30660707,375 King Street #602,Waterloo,3,1/1,1982,,"1,175",$123.40,"$159,900","$145,000",07/18/2018,90.68,54
8,30667914,279 Chandler Drive #108,Kitchener,1,1/0,1974,,759,$194.99,"$145,900","$148,000",07/09/2018,101.44,15
9,30689699,64 Benton Street #301,Kitchener,1,1/0,,,600,$247.50,"$150,000","$148,500",10/24/2018,99.00,14
10,30676902,64 Benton Street #1405,Kitchener,1,1/0,,,600,$258.33,"$157,000","$155,000",08/13/2018,98.73,12
11,30672372,375 King Street #1007,Waterloo,2,1/0,,,940,$174.47,"$169,000","$164,000",09/21/2018,97.04,75
12,30663967,375 King Street #908,Waterloo,2,1/0,,,900,$183.22,"$164,900","$164,900",07/11/2018,100.00,21
13,30664019,65 Westmount Road #604,Waterloo,2,1/1,1975,,"1,150",$143.48,"$165,000","$165,000",06/21/2018,100.00,15
14,30681254,119 Cedar Street #5,Kitchener,2,1/0,1993,,618,$270.23,"$159,900","$167,000",09/04/2018,104.44,13
15,30689905,64 BENTON Street #1403,Kitchener,1,1/0,,,600,$278.33,"$159,900","$167,000",10/04/2018,104.44,4
16,30696675,64 BENTON Street #1003,Kitchener,1,1/0,,,600,$279.17,"$160,000","$167,500",11/05/2018,104.69,4
17,30662629,41 VALLEYVIEW Road #25,Kitchener,1,1/0,1990,,621,$272.14,"$175,000","$169,000",07/12/2018,96.57,45
18,30660293,70 MORGAN Avenue #14,Kitchener,3,1/1,1975,,"1,102",$154.26,"$209,900","$170,000",07/18/2018,80.99,56
19,30682642,64 BENTON Street #1006,Kitchener,1,1/0,,,600,$283.33,"$184,900","$170,000",09/22/2018,91.94,25
20,XH4038515,375 King Street #1703,Waterloo,3,1/1,,,"1,100",$154.55,"$179,900","$170,000",11/25/2018,94.50,40
21,30685251,64 BENTON Street #702,Kitchener,1,1/0,,,600,$288.33,"$189,900","$173,000",10/15/2018,91.10,21
22,30662092,375 KING Street #806,Waterloo,3,2/0,1983,,"1,175",$148.09,"$180,000","$174,000",06/25/2018,96.67,20
