,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,KW1014493,580 Beaver Creek Road #139,Waterloo,2,0/0,1981,,,,"$16,000","$8,000",06/10/2010,50.00,118
1,KW1017366,295 Wiltshire Place,Waterloo,3,0/0,1987,,"2,200",$9.55,"$384,900","$21,000",06/07/2010,5.46,87
2,KW1031217,580 Beaver Creek Road #2,Waterloo,1,0/0,,,,,"$32,500","$24,000",07/30/2010,73.85,28
3,KW1024658,580 Beaver Creek Road #360,Waterloo,2,0/0,1992,,,,"$49,900","$47,000",09/21/2010,94.19,131
4,KW1017620,18 Paige Street,Kitchener,4,0/0,2008,,"3,160",$18.99,"$579,500","$60,000",06/09/2010,10.35,89
5,KW1027857,30 Black Maple Crescent,Kitchener,4,0/0,,,"3,580",$26.82,"$879,900","$96,000",11/01/2010,10.91,133
6,KW1031030,279 Chandler Drive #508,Kitchener,1,0/0,,,,,"$99,900","$96,500",09/27/2010,96.60,90
7,KW1037736,203 Fairway Road #10,Kitchener,3,0/0,,,"1,000",$97.50,"$102,900","$97,500",10/20/2010,94.75,29
8,KW1031495,203 Fairway Road #8,Kitchener,3,0/0,,,,,"$108,000","$99,000",08/12/2010,91.67,28
9,KW1031240,203 Fairway Road #12,Kitchener,3,0/0,,,,,"$104,900","$100,000",07/27/2010,95.33,20
10,KW1021018,157 Deer Ridge Drive,Kitchener,3,0/0,2000,,,,"$412,000","$100,800",07/14/2010,24.47,105
11,KW1031197,64 Benton Street #501,Kitchener,1,0/0,,,600,$170.83,"$105,500","$102,500",08/23/2010,97.16,48
12,KW1027513,64 Benton Street #1102,Kitchener,1,0/0,1975,,600,$175.00,"$109,900","$105,000",08/15/2010,95.54,75
13,KW1037550,64 Benton Street #601,Kitchener,1,0/0,,,600,$175.00,"$109,900","$105,000",10/05/2010,95.54,20
14,KW1028086,160 Rittenhouse Road #44,Kitchener,3,0/0,,,"1,085",$98.62,"$109,900","$107,000",06/30/2010,97.36,12
15,KW1021270,29 West Avenue #409,Kitchener,2,0/0,,,,,"$114,900","$107,500",06/02/2010,93.56,57
16,KW1034962,18 Holborn Court #106,Kitchener,2,0/0,,,"1,000",$107.90,"$109,000","$107,900",09/16/2010,98.99,23
17,KW1037045,1100 Courtland Avenue #701,Kitchener,1,0/0,,,,,"$115,900","$108,000",10/18/2010,93.18,49
18,KW1025295,15 Hofstetter Avenue #122,Kitchener,1,0/0,1990,,,,"$119,900","$109,000",06/16/2010,90.91,19
19,CA1094123,1100 Courtland Avenue #715,Kitchener,1,1/0,,,700,$156.43,"$115,500","$109,500",10/07/2010,94.81,35
20,KW1034340,1100 Courtland Avenue #107,Kitchener,1,0/0,,,,,"$115,900","$110,000",11/15/2010,94.91,99
21,KW1042003,203 Fairway Road #2,Kitchener,3,0/0,,,,,"$114,900","$111,000",12/14/2010,96.61,47
22,CA1093302,45 Westmount Road #106,Waterloo,1,1/0,,,410,$273.17,"$118,000","$112,000",08/20/2010,94.92,36
23,KW1041891,225 Harvard Place #611,Waterloo,1,0/0,,,,,"$114,900","$112,000",11/23/2010,97.48,34
24,KW1044222,18 Holborn Court #104,Kitchener,2,0/0,,,,,"$114,900","$112,000",11/29/2010,97.48,24
25,KW1041644,1100 Courtland Avenue #506,Kitchener,1,0/0,,,,,"$118,500","$113,000",11/05/2010,95.36,22
26,KW1021750,225 Harvard Place #1005,Waterloo,1,0/0,,,,,"$115,900","$113,638",08/13/2010,98.05,91
27,KW1027500,64 Benton Street #1401,Kitchener,1,0/0,,,600,$190.00,"$109,900","$114,000",07/26/2010,103.73,54
28,KW1034465,190 Lancaster Street,Kitchener,2,0/0,,,"1,046",$109.94,"$119,900","$115,000",12/09/2010,95.91,119
29,KW1034536,160 Rittenhouse Road #26,Kitchener,3,0/0,,,,,"$121,900","$115,000",11/02/2010,94.34,78
30,KW1027197,29 West Avenue #305,Kitchener,3,0/0,,,"1,050",$110.38,"$118,900","$115,900",06/25/2010,97.48,27
31,KW1031563,4 Avalon Place #105,Kitchener,2,0/0,1978,,,,"$117,900","$116,500",09/17/2010,98.81,64
32,KW1031629,165 Green Valley Drive #40,Kitchener,3,0/0,,,,,"$124,900","$116,500",09/23/2010,93.27,69
33,KW1017419,1414 King Street #101,Kitchener,1,0/0,1988,,,,"$119,555","$118,500",06/08/2010,99.12,92
34,KW1024992,163 Lancaster Street,Kitchener,3,0/0,,,,,"$134,900","$119,000",06/11/2010,88.21,19
35,KW1018174,1275 Block Line Road #305,Kitchener,1,0/0,,,409,$293.15,"$119,900","$119,900",06/08/2010,100.00,75
36,KW1025225,71 Vanier Drive #311,Kitchener,2,0/0,,,,,"$124,900","$120,000",07/13/2010,96.08,48
37,KW1031871,225 Harvard Place #701,Waterloo,1,0/0,1974,,,,"$121,900","$120,000",08/12/2010,98.44,18
38,CA1094454,165 Green Valley Drive #71,Kitchener,3,1/0,,,950,$127.37,"$127,500","$121,000",11/18/2010,94.90,35
39,KW1024698,6 Walton Avenue #210,Kitchener,2,0/0,1975,,900,$134.44,"$124,900","$121,000",06/14/2010,96.88,29
40,KW1028310,225 Harvard Place #1505,Waterloo,1,0/0,,,,,"$127,000","$121,000",07/20/2010,95.28,20
41,GU103524,225 HARVARD PL #1203,Waterloo,2,2/0,,,900,$135.56,"$139,900","$122,000",10/25/2010,87.21,93
42,KW1021070,500 Westmount Road #305,Kitchener,1,0/0,1990,,,,"$124,900","$122,000",06/30/2010,97.68,90
43,KW1031874,225 Harvard Place #1203,Waterloo,2,0/0,,,900,$135.56,"$139,900","$122,000",10/25/2010,87.21,92
44,KW1027589,565 Greenfield Avenue #801,Kitchener,2,0/0,1984,,650,$188.46,"$124,900","$122,500",06/28/2010,98.08,18
45,KW1031562,1100 Courtland Avenue #709,Kitchener,2,0/0,,,,,"$124,900","$123,500",08/12/2010,98.88,28
46,KW1031767,391 Pioneer Drive #6,Kitchener,3,0/0,1977,,,,"$129,900","$123,750",10/29/2010,95.27,92
47,KW1021330,49 Cedarwoods Crescent #15,Kitchener,3,0/0,,,,,"$134,900","$124,000",07/09/2010,91.92,92
48,KW1028081,55 Green Valley Drive #708,Kitchener,1,0/0,1990,,,,"$129,900","$124,000",08/31/2010,95.46,69
49,KW1031490,35 Breckenridge Drive #23,Kitchener,2,0/0,,,,,"$129,900","$124,500",08/30/2010,95.84,46
50,CA1094363,1100 Courtland Avenue #510,Kitchener,2,1/0,,,900,$138.78,"$124,900","$124,900",09/24/2010,100.00,6
51,KW1024841,415 Morgan Avenue #4,Kitchener,2,0/0,,,,,"$134,900","$125,000",06/14/2010,92.66,27
52,KW1034914,266 Overlea Drive #205,Kitchener,2,0/0,1989,,750,$166.67,"$125,000","$125,000",11/10/2010,100.00,73
53,KW1037372,35 Green Valley Drive #1708,Kitchener,1,0/0,1990,,700,$178.57,"$129,900","$125,000",10/08/2010,96.23,29
54,KW1022120,55 Green Valley Drive #1408,Kitchener,1,0/0,,,,,"$129,900","$127,000",09/02/2010,97.77,130
55,KW1037689,29 West Avenue #408,Kitchener,2,0/0,,,940,$135.11,"$134,900","$127,000",10/29/2010,94.14,45
56,KW1041293,266 Overlea Drive #405,Kitchener,2,0/0,,,750,$169.33,"$135,000","$127,000",11/10/2010,94.07,43
57,KW1041789,55 Green Valley Drive #1907,Kitchener,1,0/0,1989,,700,$181.86,"$129,900","$127,300",11/15/2010,98.00,25
58,KW1024124,298 Bluevale Street #B,Waterloo,3,0/0,,,,,"$138,900","$127,500",08/03/2010,91.79,92
59,KW1027699,18 Holborn Court #604,Kitchener,2,0/0,1990,,,,"$129,900","$127,500",07/06/2010,98.15,22
60,KW1034204,119 Cedar Street #9,Kitchener,2,0/0,,,,,"$129,900","$127,500",09/13/2010,98.15,38
61,KW1014201,1460 Highland Road #8E,Kitchener,1,0/0,2010,,606,$211.06,"$127,900","$127,900",10/28/2010,100.00,267
62,KW1031705,106 Weber Street,Kitchener,3,0/0,,,,,"$135,000","$128,000",08/30/2010,94.81,41
63,KW1037227,225 Harvard Place #803,Waterloo,2,0/0,1973,,904,$141.59,"$132,900","$128,000",10/22/2010,96.31,44
64,KW1041034,108 Weber Street,Kitchener,3,0/0,,,,,"$139,900","$128,000",11/10/2010,91.49,42
65,KW1024796,565 Greenfield Avenue #410,Kitchener,2,0/0,,,,,"$132,900","$128,500",07/26/2010,96.69,69
66,KW1027609,445 Pioneer Drive #3,Kitchener,2,0/0,,,,,"$131,900","$129,000",08/04/2010,97.80,51
67,KW1031151,20 Cedar Street,Kitchener,3,0/0,,,,,"$129,000","$129,000",07/27/2010,100.00,21
68,KW1022098,119 Cedar Street #11,Kitchener,2,0/0,,,,,"$134,900","$129,900",06/28/2010,96.29,64
69,KW1034071,1460 Highland Road #5D,Kitchener,1,0/0,,,606,$214.36,"$129,900","$129,900",10/28/2010,100.00,91
70,KW1034124,1460 Highland Road #5F,Kitchener,1,0/0,,,606,$214.36,"$129,900","$129,900",10/28/2010,100.00,91
71,KW1034145,1460 Highland Road #5C,Kitchener,1,0/0,,,606,$214.36,"$129,900","$129,900",09/20/2010,100.00,54
72,GU103443,337 KINGSWOOD DR #22,Kitchener,3,2/0,1976,,"1,200",$108.33,"$139,900","$130,000",10/13/2010,92.92,89
73,KW1021823,55 Green Valley Drive #1208,Kitchener,1,0/0,1990,,700,$185.71,"$134,900","$130,000",06/03/2010,96.37,44
74,KW1031549,6 Walton Avenue #306,Kitchener,3,0/0,1975,,,,"$135,000","$130,000",09/22/2010,96.30,70
75,KW1031643,337 Kingswood Drive #22,Kitchener,3,0/0,,,,,"$139,900","$130,000",10/13/2010,92.92,91
76,KW1034785,391 Pioneer Drive #8,Kitchener,2,0/0,,,,,"$131,500","$130,500",11/09/2010,99.24,78
77,KW1027671,14 Williamsburg Road #38,Kitchener,3,0/0,,,,,"$135,000","$131,000",07/21/2010,97.04,40
78,KW1031071,35 Green Valley Drive #211,Kitchener,1,0/0,1990,,800,$163.75,"$135,900","$131,000",07/28/2010,96.39,27
79,KW1022311,160 Rittenhouse Road #40,Kitchener,3,0/0,,,,,"$139,900","$132,000",06/22/2010,94.35,54
80,KW1024114,700 Erinbrook Drive #31,Kitchener,2,0/0,1986,,,,"$135,500","$132,000",07/28/2010,97.42,91
81,KW1024268,292 Traynor Avenue #4,Kitchener,3,0/0,,,"1,300",$101.54,"$144,900","$132,000",06/22/2010,91.10,50
82,KW1031861,178 Grulke Street #3,Kitchener,3,0/0,1976,,"1,100",$120.00,"$142,500","$132,000",09/14/2010,92.63,51
83,KW1037680,15 Hofstetter Avenue #311,Kitchener,1,0/0,1989,,796,$165.83,"$135,000","$132,000",10/15/2010,97.78,28
84,KW1041383,35 Green Valley Drive #611,Kitchener,1,0/0,1990,,800,$165.63,"$134,500","$132,500",11/01/2010,98.51,21
85,KW1025232,337 Northlake Drive #11,Waterloo,2,0/0,1989,,,,"$138,900","$133,000",06/16/2010,95.75,20
86,KW1022255,165 Green Valley Drive #1,Kitchener,3,0/0,,,,,"$136,800","$134,000",06/09/2010,97.95,41
87,KW1037049,430 Pioneer Drive #2,Kitchener,3,0/0,1975,,"1,100",$121.82,"$134,900","$134,000",10/05/2010,99.33,34
88,KW1037754,15 Green Valley Drive #4,Kitchener,3,0/0,1977,,,,"$149,900","$134,000",10/13/2010,89.39,22
89,KW1044173,225 Harvard Place #1608,Waterloo,2,0/0,1974,,930,$144.09,"$138,900","$134,000",11/24/2010,96.47,21
90,KW1031014,335 Northlake Drive #1,Waterloo,2,0/0,,,,,"$134,900","$134,500",07/13/2010,99.70,13
91,CA1092702,67 Breckenridge Drive #103,Kitchener,1,1/0,,,760,$177.50,"$134,900","$134,900",07/07/2010,100.00,14
92,KW1027550,67 Breckenridge Drive #103,Kitchener,1,0/0,,,760,$177.50,"$134,900","$134,900",07/07/2010,100.00,36
93,KW1044068,1460 Highland Road #9F,Kitchener,1,0/0,2011,,606,$222.61,"$134,900","$134,900",12/08/2010,100.00,37
94,KW1044079,1460 Highland Road #9C,Kitchener,1,0/0,2011,,606,$222.61,"$134,900","$134,900",12/01/2010,100.00,30
95,KW1021783,70 Morgan Avenue #16,Kitchener,2,0/0,1974,0.00,950,$142.11,"$139,900","$135,000",07/22/2010,96.50,97
96,KW1031146,565 Greenfield Avenue #712,Kitchener,2,0/0,,,,,"$139,900","$135,000",07/23/2010,96.50,20
97,KW1031207,30 Hugo Crescent #307,Kitchener,1,0/0,1990,,,,"$139,900","$135,000",07/23/2010,96.50,17
98,KW1044744,120 Walter Street,Kitchener,4,0/0,,,,,"$139,900","$135,000",12/10/2010,96.50,14
99,KW1037275,165 Green Valley Drive #9,Kitchener,2,0/0,,,,,"$135,900","$135,900",09/27/2010,100.00,21
100,CA1094349,50 Howe Drive #5D,Kitchener,1,1/0,,,755,$180.13,"$139,900","$136,000",10/17/2010,97.21,33
101,KW1027195,385 Pioneer Drive #2,Kitchener,2,0/0,,,,,"$136,000","$136,000",07/22/2010,100.00,51
102,KW1041832,119 Cedar Street #7,Kitchener,2,0/0,,,,,"$136,900","$136,000",11/02/2010,99.34,12
103,KW1041828,35 Green Valley Drive #314,Kitchener,1,0/0,1990,,,,"$139,900","$136,900",11/17/2010,97.86,30
