,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30526711,300 KEATS Way #403,Waterloo,2,1/1,,,"1,100",$1.09,"$210,000","$1,200",07/16/2016,0.57,25
1,30531913,191 King Street #1207,Waterloo,1,1/1,2008,,691,$2.39,"$1,650","$1,650",08/11/2016,100.00,21
2,30513692,112 Benton Street #703,Kitchener,2,2/1,,,"1,659",$1.51,"$574,800","$2,500",07/12/2016,0.43,111
3,30515633,20 Jacob Gingrich Drive,Kitchener,4,4/1,2011,,"4,250",$0.94,"$1,130,000","$4,000",08/09/2016,0.35,119
4,30527157,1 Victoria Street #802,Kitchener,1,1/0,2016,,517,$27.85,"$1,300","$14,400",06/29/2016,1107.69,15
5,30536933,793 COMMONWEALTH Crescent,Kitchener,3,2/1,2007,,"1,358",$13.48,"$1,575","$18,300",09/01/2016,1161.90,5
6,30507401,82 Pioneer Tower Crescent,Kitchener,5,3/1,2007,0.00,"3,870",$9.77,"$1,149,000","$37,800",07/29/2016,3.29,189
7,30511547,4 Willow Street #507,Waterloo,2,2/0,,,"1,210",$44.63,"$279,900","$54,000",06/08/2016,19.29,93
8,30527020,185 KEHL Street #306,Kitchener,2,1/1,,,"1,300",$61.46,"$79,900","$79,900",06/27/2016,100.00,11
9,30516701,279 CHANDLER Drive #205,Kitchener,1,1/0,,,900,$104.44,"$99,900","$94,000",07/11/2016,94.09,82
10,30522476,293 FAIRWAY Road #12,Kitchener,2,1/0,1972,,"1,033",$91.97,"$99,000","$95,000",07/28/2016,95.96,61
11,30534832,64 BENTON Street #704,Kitchener,1,1/0,,,600,$170.00,"$106,900","$102,000",10/13/2016,95.42,62
12,30521339,4 AVALON Place #208,Kitchener,1,1/0,1978,,607,$169.69,"$108,000","$103,000",06/24/2016,95.37,38
13,30521222,30 AVALON Place #207,Kitchener,1,1/0,1978,,600,$183.17,"$109,900","$109,900",06/30/2016,100.00,46
14,30518991,30 AVALON Place #114,Kitchener,2,1/0,1983,,793,$142.50,"$123,000","$113,000",06/25/2016,91.87,49
15,30522012,119 Cedar Street #9,Kitchener,2,1/0,1993,,610,$188.52,"$127,500","$115,000",07/08/2016,90.20,43
16,30526890,64 Benton Street #405,Kitchener,1,1/0,1976,,600,$193.33,"$118,500","$116,000",07/08/2016,97.89,21
17,30533167,24 MIDLAND Drive #505B,Kitchener,1,1/0,1970,,450,$261.11,"$119,900","$117,500",08/29/2016,98.00,28
18,30539273,283 FAIRWAY Road #80,Kitchener,2,1/0,,,496,$236.90,"$119,500","$117,500",09/30/2016,98.33,17
19,30524353,30 AVALON Place #306,Kitchener,2,1/0,1983,,800,$147.50,"$122,888","$118,000",06/20/2016,96.02,13
20,30541594,64 BENTON Street #504,Kitchener,1,1/0,1976,,600,$196.67,"$119,000","$118,000",10/14/2016,99.16,28
21,30529960,18 HOLBORN Court #309,Kitchener,2,2/0,,,971,$123.58,"$122,000","$120,000",08/04/2016,98.36,28
22,30516413,75 HAZELGLEN Drive #108,Kitchener,2,1/0,,,850,$144.12,"$124,800","$122,500",09/02/2016,98.16,136
23,30526276,75 HAZELGLEN Drive #201,Kitchener,2,1/0,1975,,"1,135",$108.37,"$124,900","$123,000",06/28/2016,98.48,13
24,30515925,18 Holborn Court #304,Kitchener,2,2/0,,,953,$131.16,"$129,900","$125,000",07/15/2016,96.23,95
25,30522841,6 WALTON Avenue #303,Kitchener,2,1/1,1976,,835,$149.70,"$129,900","$125,000",07/21/2016,96.23,52
26,30534982,64 Benton Street #1206,Kitchener,1,1/0,1976,,600,$208.33,"$124,500","$125,000",08/31/2016,100.40,16
27,30525035,24 Mooregate Crescent #201,Kitchener,3,2/0,,,"1,026",$122.32,"$129,900","$125,500",08/10/2016,96.61,61
28,30526115,279 CHANDLER Drive #202,Kitchener,2,1/0,,,930,$136.02,"$131,000","$126,500",07/11/2016,96.56,28
29,30513819,30 Avalon Place #315,Kitchener,2,1/0,1978,,793,$164.06,"$125,900","$130,101",06/18/2016,103.34,84
30,30524337,55 GREEN VALLEY Drive #107,Kitchener,1,1/0,1989,,695,$188.49,"$139,900","$131,000",06/17/2016,93.64,14
31,30526202,279 CHANDLER Drive #502,Kitchener,2,1/0,1974,,930,$140.86,"$134,900","$131,000",09/12/2016,97.11,89
32,30520266,29 WEST Avenue #111,Kitchener,2,1/0,,,750,$177.33,"$134,900","$133,000",06/25/2016,98.59,42
33,30538231,119 Cedar Street #14,Kitchener,2,1/0,1991,,640,$207.81,"$135,900","$133,000",09/23/2016,97.87,19
34,30522205,283 FAIRWAY Road #503,Kitchener,3,1/0,1969,,"1,015",$133.00,"$138,500","$135,000",07/11/2016,97.47,39
35,30539816,29 WEST Avenue #709,Kitchener,2,1/0,,,940,$144.15,"$139,000","$135,500",10/04/2016,97.48,18
36,30537731,119 Cedar Street #11,Kitchener,2,1/0,1993,,600,$226.50,"$135,900","$135,900",10/03/2016,100.00,26
37,30539321,71 Vanier Drive #112,Kitchener,2,1/0,1977,,835,$163.47,"$137,900","$136,500",10/05/2016,98.98,21
38,30513859,283 FAIRWAY Road #505,Kitchener,2,0/0,,,840,$163.10,"$141,900","$137,000",06/03/2016,96.55,70
39,30531554,29 WEST Avenue #509,Kitchener,2,1/0,,,850,$161.18,"$138,000","$137,000",08/15/2016,99.28,28
40,30515750,65 WESTMOUNT Road #811,Waterloo,2,1/1,,,"1,200",$114.83,"$145,000","$137,800",09/28/2016,95.03,169
41,30518553,283 Fairway Road #401,Kitchener,2,1/0,,,840,$164.29,"$139,900","$138,000",06/14/2016,98.64,40
42,30531626,283 FAIRWAY Road #301,Kitchener,2,1/0,,,840,$164.29,"$139,000","$138,000",08/18/2016,99.28,28
