,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,30610367,375 KING Street #1201,Waterloo,3,2/0,,,"1,175",$1.31,"$235,000","$1,540",12/21/2017,0.66,54
1,30606571,64 Benton Street #9A,Kitchener,0,0/0,,,,,"$25,000","$21,500",11/02/2017,86.00,24
2,30607422,580 Beaver Creek Road #81,Waterloo,2,1/0,,0.00,"1,137",$73.88,"$85,000","$84,000",12/23/2017,98.82,69
3,30605020,75 HAZELGLEN Drive #308,Kitchener,2,1/0,1975,,"1,135",$120.70,"$135,000","$137,000",10/31/2017,101.48,29
4,30599640,293 Fairway Road #20,Kitchener,2,1/0,,,"1,033",$135.53,"$159,000","$140,000",10/14/2017,88.05,36
5,30616698,24 Mooregate Crescent #102,Kitchener,2,1/1,,,824,$169.90,"$149,900","$140,000",12/26/2017,93.40,23
6,30602447,119 CEDAR Street #6,Kitchener,2,1/0,1993,,618,$232.85,"$144,900","$143,900",10/18/2017,99.31,27
7,30600761,279 CHANDLER Drive #304,Kitchener,2,1/0,1986,,958,$151.36,"$149,900","$145,000",10/12/2017,96.73,29
8,30611168,64 BENTON Street #406,Kitchener,1,1/0,,,600,$241.67,"$148,000","$145,000",12/05/2017,97.97,34
9,30601128,64 Benton Street #1403,Kitchener,1,1/0,,,600,$245.00,"$145,000","$147,000",10/16/2017,101.38,29
10,30610364,279 CHANDLER Drive #704,Kitchener,2,1/0,,,930,$161.29,"$152,000","$150,000",11/23/2017,98.68,29
11,30607425,279 CHANDLER Drive #602,Kitchener,2,1/0,,,930,$162.37,"$147,900","$151,000",10/26/2017,102.10,14
12,30610390,64 BENTON Street #906,Kitchener,1,1/0,,,600,$263.33,"$159,000","$158,000",11/15/2017,99.37,17
13,30610043,64 BENTON Street #1206,Kitchener,1,1/0,,,600,$266.50,"$159,900","$159,900",11/06/2017,100.00,10
14,30593715,249 Cedarbrae Avenue #8,Waterloo,3,2/0,1977,,"1,006",$159.05,"$176,000","$160,000",10/05/2017,90.91,53
15,30598926,29 West Avenue #210,Kitchener,2,1/0,1977,,750,$213.33,"$164,000","$160,000",11/04/2017,97.56,57
16,30602341,18 HOLBORN Court #602,Kitchener,2,2/0,,,971,$167.87,"$165,000","$163,000",10/17/2017,98.79,25
17,30607313,283 Fairway Road #204,Kitchener,2,1/0,1969,,833,$201.68,"$165,000","$168,000",10/25/2017,101.82,12
18,30611196,30 HUGO Crescent #311,Kitchener,1,1/0,1990,,820,$207.20,"$169,900","$169,900",11/15/2017,100.00,15
19,30598477,65 Westmount Road #212,Waterloo,2,1/1,,,"1,150",$147.83,"$173,000","$170,000",10/24/2017,98.27,48
20,30600480,375 KING Street #608,Waterloo,2,1/0,1982,,940,$180.85,"$173,000","$170,000",10/20/2017,98.27,31
21,30603138,489 EAST Avenue #A,Kitchener,1,1/0,,,583,$291.60,"$174,900","$170,000",11/21/2017,97.20,54
22,30599485,110 ELM RIDGE Drive,Kitchener,3,1/0,1972,,949,$181.24,"$175,000","$172,000",10/12/2017,98.29,32
23,30582580,375 King Street #2002,Waterloo,3,2/0,,,"1,175",$148.94,"$185,000","$175,000",11/01/2017,94.59,110
24,30604535,266 Overlea Drive #201,Kitchener,2,1/0,1989,,732,$239.07,"$179,900","$175,000",12/01/2017,97.28,36
25,30605834,55 MOOREGATE Crescent #15 A,Kitchener,1,1/0,2013,,470,$376.60,"$179,900","$177,000",10/20/2017,98.39,13
26,30614648,30 HUGO Crescent #303,Kitchener,1,1/0,,,845,$210.65,"$183,000","$178,000",12/22/2017,97.27,41
27,30606831,65 HIGHLAND Crescent #801,Kitchener,2,1/0,1989,,980,$183.67,"$174,900","$180,000",11/01/2017,102.92,21
28,30610164,71 VANIER Drive #208,Kitchener,2,1/1,,,835,$215.57,"$188,000","$180,000",11/11/2017,95.74,12
29,30615520,327 Northlake Drive #1,Waterloo,2,1/0,,,800,$225.00,"$182,500","$180,000",12/11/2017,98.63,16
30,30598274,35 BRECKENRIDGE Drive #46,Kitchener,2,1/0,1972,,900,$202.78,"$185,000","$182,500",10/02/2017,98.65,24
31,30605811,58 BRIDGEPORT Road #1005,Waterloo,2,1/0,1974,,"1,100",$168.18,"$192,500","$185,000",11/01/2017,96.10,28
32,30607882,30 HUGO Crescent #308,Kitchener,1,1/0,,,820,$225.61,"$189,900","$185,000",10/31/2017,97.42,14
33,30600871,15 HOFSTETTER Avenue #408,Kitchener,2,1/1,1990,,750,$248.00,"$199,999","$186,000",12/13/2017,93.00,90
34,30614605,55 GREEN VALLEY Drive #1208,Kitchener,1,1/0,,,700,$265.71,"$189,900","$186,000",12/04/2017,97.95,14
35,30598405,15 HOFSTETTER Avenue #308,Kitchener,2,1/0,1990,,867,$216.26,"$194,900","$187,500",10/27/2017,96.20,52
36,30606520,266 OVERLEA Drive #408,Kitchener,2,1/0,1989,,732,$256.83,"$199,900","$188,000",11/06/2017,94.05,27
37,30602488,6 WALTON Avenue #209,Kitchener,2,1/1,,,920,$205.43,"$199,900","$189,000",10/31/2017,94.55,41
38,30610024,30 HICKORY Street #102,Waterloo,3,1/0,,,882,$214.85,"$194,900","$189,500",11/23/2017,97.23,29
39,30600808,35 GREEN VALLEY Drive #1214,Kitchener,1,1/0,1990,,900,$211.00,"$189,900","$189,900",10/10/2017,100.00,23
40,30610219,29 WEST Avenue #301,Kitchener,3,1/1,,,"1,050",$180.95,"$197,400","$190,000",12/21/2017,96.25,55
41,30611873,276 EIWO Court #206,Waterloo,1,1/0,,,667,$284.86,"$192,900","$190,000",12/01/2017,98.50,25
42,30614717,35 Breckenridge Drive #40,Kitchener,2,1/0,1972,,990,$194.44,"$186,970","$192,500",12/14/2017,102.96,24
