name,rating,address,status,latitude,longitude,province,type
Master's,10,"4414 Crowchild Trail SW   Calgary, AB T2T 5J4",Public,51.0152913,-114.1165447,Alberta,Elementary
Windsor Park,10,"8720 - 118 Street   Edmonton, AB T6G 1T5",Public,53.524097,-113.53496,Alberta,Elementary
Clear Water,9.8,"2521 Dieppe Avenue SW   Calgary, AB T3E 7J9",Separate,51.019369,-114.120998,Alberta,Elementary
Mount Pleasant,9.8,"10541 - 60A Avenue   Edmonton, AB T6H 1K4",Public,53.4958608,-113.5033896,Alberta,Elementary
Webber,9.7,"1515 - 93 Street S.W.   Calgary, AB T3H 4A8",Private,51.0446318,-114.2260551,Alberta,Elementary
St. Vincent De Paul,9.7,"4525 - 49 Street N.W.   Calgary, AB T3A 0K4",Separate,51.0932011,-114.1596406,Alberta,Elementary
Grandview Heights,9.6,"6225 - 127 Street   Edmonton, AB T6H 3W8",Public,53.499504,-113.547048,Alberta,Elementary
Father Doucet,9.3,"65 Shannon Drive S.W.   Calgary, AB T2Y 2T5",Separate,50.9093428,-114.0851664,Alberta,Elementary
Westmount,9.2,"728 - 32 Street NW   Calgary, AB T2N 2V9",Charter,51.0582152,-114.1316003,Alberta,Elementary
Calgary French & International,9.2,"700 - 77 Street S.W.   Calgary, AB T3H 5R1",Private,51.068047,-114.1985949,Alberta,Elementary
Meyokumin,9.1,"5703 - 19A Avenue   Edmonton, AB T6L 4J8",Public,53.4502277,-113.4279048,Alberta,Elementary
Meadowlark,9.1,"9150 - 160 Street   Edmonton, AB T5R 2J2",Public,53.5264286,-113.5950325,Alberta,Elementary
Airdrie Koinonia Christian,9.1,"2104 Yankee Valley Blvd SW   Airdrie, AB T4B 2A3",Private,51.2714897,-114.0431529,Alberta,Elementary
Renert,9.1,"14 Royal Vista Link NW   Calgary, AB T3R 0K4",Private,51.1518462,-114.2028102,Alberta,Elementary
Stratford,9,"8715 - 153 Street   Edmonton, AB T5R 1P1",Public,53.5201179,-113.5845182,Alberta,Elementary
Rundle College,9,"2634 - 12 Avenue N.W.   Calgary, AB T2N 1K6",Private,51.0626852,-114.123638,Alberta,Elementary
River Valley,9,"3127 Bowwood Drive N.W.   Calgary, AB T3B 2E7",Private,51.0804172,-114.1736915,Alberta,Elementary
Aurora,9,"12245 - 131 Street NW   Edmonton, AB T5L1M8",Charter,53.5764629,-113.547837,Alberta,Elementary
Richard Secord,8.9,"4025 - 117 Street   Edmonton, AB T6J 1T4",Public,53.4769007,-113.5343934,Alberta,Elementary
Brookside,8.9,"5504 - 143 Street   Edmonton, AB T6H 4E5",Public,53.4922038,-113.5681928,Alberta,Elementary
Strathcona Christian,8.8,"52362 Range Road 231   Sherwood Park, AB T8B 0A3",Public,53.508988,-113.2725926,Alberta,Elementary
Earl Buxton,8.8,"250 Rhatigan Road E.   Edmonton, AB T6R 2H7",Public,53.4739419,-113.5824356,Alberta,Elementary
Rideau Park,8.8,"829 Rideau Road S.W.   Calgary, AB T2S 0S2",Public,51.0253523,-114.0755548,Alberta,Elementary
Greenfield,8.8,"3735 - 114 Street   Edmonton, AB T6J 2G6",Public,53.47264,-113.5251761,Alberta,Elementary
St. Joan of Arc,8.7,"7970 Wentworth Drive SW   Calgary, AB T3H 0K2",Separate,51.056922,-114.207593,Alberta,Elementary
Tempo,8.7,"5603 - 148 Street   Edmonton, AB T6H 4T7",Private,53.494366,-113.5744359,Alberta,Elementary
Calgary Jewish,8.7,"6700 Kootenay Street S.W.   Calgary, AB T2V 1P7",Private,50.993688,-114.0930944,Alberta,Elementary
Westbrook,8.7,"11915 - 40 Avenue   Edmonton, AB T6J 0S1",Public,53.4757863,-113.5402656,Alberta,Elementary
Calgary Waldorf,8.7,"515 Cougar Ridge Drive S.W.   Calgary, AB T3H 5G9",Private,51.07247,-114.2191661,Alberta,Elementary
Mother Teresa of Calcutta,8.7,"121 Midlake Boulevard S.E.   Calgary, AB T2X 1T7",Separate,50.9143836,-114.0520708,Alberta,Elementary
Trinity Christian,8.6,"#100, 295 Midpark Way S.E.   Calgary, AB T2X 2A8",Public,50.9097173,-114.062414,Alberta,Elementary
St. Hubert,8.6,"320 - 72 Avenue N.E.   Calgary, AB T2K 5J3",Separate,51.118025,-114.0613679,Alberta,Elementary
Louis Pasteur,8.6,"4099 Garrison Blvd. S.W.   Calgary, AB T2T 6G2",Private,51.0175056,-114.114374,Alberta,Elementary
Strathcona-Tweedsmuir,8.5,"RR 2 306 Ave. West & 32 St. West  Okotoks, AB T1S 1A2",Private,50.7251246,-113.9720028,Alberta,Elementary
Sunalta,8.5,"536 Sonora Avenue S.W.   Calgary, AB T3C 2J9",Public,51.041026,-114.110956,Alberta,Elementary
Muriel Martin,8.5,"110 Deer Ridge Drive   St. Albert, AB T8N 5Z3",Public,53.656135,-113.650131,Alberta,Elementary
Dr. E. W. Coffin,8.5,"5615 Barrett Drive N.W.   Calgary, AB T2L 1W4",Public,51.103473,-114.1345249,Alberta,Elementary
Sunnyside,8.5,"211 - 7 Street N.W.   Calgary, AB T2N 1S2",Public,51.0566595,-114.0794432,Alberta,Elementary
Grandin,8.5,"9844 - 110 Street   Edmonton, AB T5K 1J2",Separate,53.53653,-113.5108,Alberta,Elementary
St. Stephen,8.5,"10910 Elbow Drive S.W.   Calgary, AB T2W 1G6",Separate,50.9556576,-114.0838605,Alberta,Elementary
Elbow Park,8.4,"721 - 38 Avenue S.W.   Calgary, AB T2T 2H8",Public,51.0197051,-114.0822153,Alberta,Elementary
New Horizons,8.4,"1000 Strathcona Drive   Sherwood Park, AB T8A 3R6",Charter,53.5204569,-113.3210607,Alberta,Elementary
Holy Name,8.4,"3011 - 35 Street S.W.   Calgary, AB T3E 2Y7",Separate,51.0278268,-114.1383581,Alberta,Elementary
Glamorgan,8.4,"50 Grafton Drive S.W.   Calgary, AB T3E 4W3",Public,51.0154057,-114.145312,Alberta,Elementary
Good Shepherd,8.4,"52 Robinson Drive   Okotoks, AB T1S 2A3",Separate,50.7362947,-113.9689096,Alberta,Elementary
George H Luck,8.4,"300 Bulyea Road   Edmonton, AB T6R 2L4",Public,53.473617,-113.571835,Alberta,Elementary
Marion Carson,8.4,"5225 Varsity Drive N.W.   Calgary, AB T3A 1A7",Public,51.0929216,-114.1614397,Alberta,Elementary
Calmar,8.4,"P.O. Box 1059   Calmar, AB T0C 0V0",Public,53.3117502,-113.6698124,Alberta,Elementary
Consort,8.4,"Bag Service 1002   Consort, AB T0C 1B0",Public,51.9993459,-110.8604053,Alberta,Elementary
Chaparral,8.4,"480 Chaparral Drive S.E.   Calgary, AB T2X 3X8",Public,50.8831321,-114.0447468,Alberta,Elementary
Erskine,8.4,"P.O. Box 124   Erskine, AB T0C 1G0",Public,52.2035115,-112.9008693,Alberta,Elementary
St. William,8.4,"11020 Fairmount Drive S.E.   Calgary, AB T2J 0T1",Separate,50.9536985,-114.0593243,Alberta,Elementary
A B Daley,8.3,"P.O. Box 1089   Nanton, AB T0L 1R0",Public,50.2196914,-114.1107787,Alberta,Elementary
Edgemont,8.3,"55 Edgevalley Circle N.W.   Calgary, AB T3A 4X1",Public,51.129,-114.143735,Alberta,Elementary
Glenora,8.3,"13520 - 102 Avenue   Edmonton, AB T5N 0N7",Public,53.5438339,-113.555479,Alberta,Elementary
Jennie Elliott,8.3,"3031 Lindsay Drive S.W.   Calgary, AB T3E 6A9",Public,50.996344,-114.126869,Alberta,Elementary
Briar Hill,8.3,"1233 - 21 Street N.W.   Calgary, AB T2N 2L8",Public,51.0631208,-114.1115621,Alberta,Elementary
Killarney,8.3,"3008 - 33 Street S.W.   Calgary, AB T3E 2T9",Public,51.0281635,-114.1349627,Alberta,Elementary
Lake Bonavista,8.3,"1015 - 120 Avenue S.E.   Calgary, AB T2J 2L1",Public,50.9445212,-114.0410294,Alberta,Elementary
Louis Riel,8.3,"9632 Oakfield Drive S.W.   Calgary, AB T2V 0L1",Public,50.9668456,-114.1322187,Alberta,Elementary
Maria Montessori,8.3,"2634 12 Ave NW   Calgary, AB T2N 1K6",Private,51.0626852,-114.123638,Alberta,Elementary
La Mission,8.2,"46 Heritage Drive   St. Albert, AB T8N 7J5",Francophone,53.60833,-113.626131,Alberta,Elementary
St. Brigid,8.2,"730 Citadel Way, N.W.   Calgary, AB T3G 5S6",Separate,51.1463598,-114.1879323,Alberta,Elementary
John Costello,8.2,"300 Strathcona Drive S.W.   Calgary, AB T3H 1N9",Separate,51.0488303,-114.1807195,Alberta,Elementary
Dovercourt,8.2,"13910 - 122 Avenue   Edmonton, AB T5L 2W3",Public,53.574951,-113.561804,Alberta,Elementary
Lendrum,8.2,"11330 - 54 Avenue   Edmonton, AB T6H 0V7",Public,53.491844,-113.523078,Alberta,Elementary
George P. Nicholson,8.1,"1120 - 113 Street   Edmonton, AB T6J 7J4",Public,53.4425378,-113.5257218,Alberta,Elementary
Hillhurst,8.1,"1418 - 7 Avenue N.W.   Calgary, AB T2N 0Z2",Public,51.0591905,-114.0931993,Alberta,Elementary
Patricia Heights,8.1,"16216 - 78 Avenue   Edmonton, AB T5R 3E6",Public,53.5107948,-113.6029689,Alberta,Elementary
Battalion Park,8.1,"369 Sienna Park Drive S.W.   Calgary, AB T3H 4S2",Public,51.0236022,-114.1820921,Alberta,Elementary
Edison,8.1,"Site 11, P.O. Box 2, R.R. 2 Hwy 2A, 1KM North of Okotoks  Okotoks, AB T1S 1A2",Private,50.7251246,-113.9720028,Alberta,Elementary
Westbrook,8.1,"R.R. 1   Cochrane, AB T4C 1A1",Public,51.1887572,-114.4672086,Alberta,Elementary
Lacombe Christian,8.1,"5206 - 58 Street   Lacombe, AB T4L 1G9",Private,52.467207,-113.749478,Alberta,Elementary
Poplar Ridge,8.1,"R. R. #1   Red Deer, AB T4N 5E1",Public,52.2903179,-113.8296233,Alberta,Elementary
Westgate,8.1,"150 Westminster Drive S.W.   Calgary, AB T3C 2T3",Public,51.0445461,-114.1592163,Alberta,Elementary
Calgary Christian,8,"2839 - 49 Street S.W.   Calgary, AB T3E 3X9",Public,51.0274309,-114.1591256,Alberta,Elementary
Wye,8,"163, 22560 Wye Road   Sherwood Park, AB T8A 4T6",Public,53.5150272,-113.2390585,Alberta,Elementary
Rosedale,8,"905 - 13 Avenue N.W.   Calgary, AB T2M 0G3",Public,51.0636849,-114.0817951,Alberta,Elementary
Virginia Park,8,"7324 - 109 Avenue   Edmonton, AB T5B 0A1",Public,53.5603729,-113.4484076,Alberta,Elementary
Bearspaw Christian,8,"15001 - 69 Street NW   Calgary, AB T3R 1C5",Private,51.1869659,-114.1894469,Alberta,Elementary
Learning@HOME,8,"109 Southbank Blvd   Okotoks, AB T1S 0G1",Separate,50.7033932,-113.9454136,Alberta,Elementary
Earl Grey,8,"845 Hillcrest Avenue S.W.   Calgary, AB T2T 0Z1",Public,51.03102,-114.081755,Alberta,Elementary
Bertha Kennedy,8,"175 Larose Drive   St. Albert, AB T8N 2G7",Separate,53.646386,-113.642589,Alberta,Elementary
St. Paul,8,"14410 - 96 Avenue   Edmonton, AB T5N 0C7",Separate,53.5330649,-113.5720007,Alberta,Elementary
Covenant Canadian Reformed,8,"3030 Township Road 615A   Neerlandia, AB T0G 1R2",Private,54.3197155,-114.325949,Alberta,Elementary
Khalsa,8,"4504 Millwoods Road South   Edmonton, AB T6L 6Y8",Private,53.4436387,-113.4082686,Alberta,Elementary
Mother Mary Greene,8,"115 Edenwold Drive N.W.   Calgary, AB T3A 3S8",Separate,51.124442,-114.139484,Alberta,Elementary
Khalsa,8,"RR6 Site 1 Box 2   Calgary, AB T2M 4L5",Private,51.098106,-114.0349934,Alberta,Elementary
Three Hills,8,"P.O. Box 696   Three Hills, AB T0M 2A0",Public,51.6995678,-113.2839747,Alberta,Elementary
St. Wilfrid,8,"4225 - 44 Avenue N.E.   Calgary, AB T1Y 4Y1",Separate,51.092201,-113.969242,Alberta,Elementary
Mecca Glen,8,"R.R. 1   Ponoka, AB T4J 1R1",Public,52.6775701,-113.5770494,Alberta,Elementary
Our Lady of the Snows,8,"3100A Stewart Creek Drive   Canmore, AB T1W 3M6",Separate,51.049558,-115.3183929,Alberta,Elementary
St. Anne,8,"101 Brett Drive   Fort McMurray, AB T9K 1V1",Separate,56.745414,-111.4660391,Alberta,Elementary
Suzuki,7.9,"10720-54 Street   Edmonton, AB T6A 2H9",Charter,53.5548916,-113.4223891,Alberta,Elementary
St. Philip,7.9,"13825 Parkside Drive S.E.   Calgary, AB T2J 5A8",Separate,50.9278583,-114.0382495,Alberta,Elementary
Our Lady of Peace,7.9,"14826 Millrise Hill S.W.   Calgary, AB T2Y 2B4",Separate,50.9184956,-114.0884915,Alberta,Elementary
Foundations for the Future (FFCA),7.9,"240, 688 Heritage Drive, SE   Calgary, AB T2H 1M6",Charter,50.9844243,-114.0484552,Alberta,Elementary
Manning,7.9,"603 3rd Street SE   Manning, AB T0H 2M0",Public,56.9203109,-117.6239222,Alberta,Elementary
Menno Simons Christian,7.9,"7000 Elkton Drive S.W.   Calgary, AB T3H 4Y7",Public,51.0241399,-114.1884997,Alberta,Elementary
Red Deer Lake,7.9,"Site 22,  P.O. Box 1, R.R. 8   Calgary, AB T2J 2T9",Public,50.9445604,-113.9754718,Alberta,Elementary
St. Patrick Fine Arts,7.9,"80 Rivergreen Road W.   Lethbridge, AB T1K 7Y1",Separate,49.6612803,-112.8646595,Alberta,Elementary
St. Boniface,7.9,"927 Lake Sylvan Drive S.E.   Calgary, AB T2J 2P8",Separate,50.943262,-114.0422221,Alberta,Elementary
Drayton Christian,7.9,"4762 - 50 Street   Drayton Valley, AB T7A 1P1",Public,53.219595,-114.977601,Alberta,Elementary
Sir Alexander Mackenzie,7.8,"61 Sir Winston Churchill Ave   St. Albert, AB T8N 0G5",Public,53.6371748,-113.6091263,Alberta,Elementary
Alex Ferguson,7.8,"1704 - 26 Street S.W.   Calgary, AB T3C 1K5",Public,51.038941,-114.123325,Alberta,Elementary
Christ the King,7.8,"333 Cranston Way SE   Calgary, AB T3M 1K6",Separate,50.8871333,-113.9755659,Alberta,Elementary
St. Maria Goretti,7.8,"375 Hawkstone Drive N.W.   Calgary, AB T3G 3T7",Separate,51.134371,-114.17822,Alberta,Elementary
Woodbine,7.8,"27 Woodfield Way S.W.   Calgary, AB T2W 5E1",Public,50.9365641,-114.128425,Alberta,Elementary
St. Bernadette,7.8,"11917 - 40 Street   Edmonton, AB T5W 2L1",Separate,53.572597,-113.402282,Alberta,Elementary
Rideau Park,7.8,"10605 - 42 Avenue   Edmonton, AB T6J 3Z9",Public,53.4780956,-113.5054663,Alberta,Elementary
Woodbridge Farms,7.8,"1127 Parker Drive   Sherwood Park, AB T8A 4E5",Public,53.5300248,-113.3240708,Alberta,Elementary
Leslieville,7.8,"P.O. Box 70   Leslieville, AB T0M 1H0",Public,52.381981,-114.600811,Alberta,Elementary
Delia,7.8,"205 3 Ave N   Delia, AB T0J 0W0",Public,51.631317,-112.3787611,Alberta,Elementary
Dr Elliott,7.8,"101 1 St SE   Linden, AB T0M 1J0",Public,51.5906611,-113.483016,Alberta,Elementary
Sacred Heart,7.7,"709 - 2nd Street   Strathmore, AB T1P 1B8",Separate,51.0398415,-113.3927292,Alberta,Elementary
Good Shepherd,7.7,"18111 - 57 Avenue   Edmonton, AB T6M 1W1",Separate,53.491529,-113.635195,Alberta,Elementary
Sainte Marguerite Bourgeoys,7.7,"4700 Richard Road S.W.   Calgary, AB T3E 6L1",Francophone,51.0113774,-114.1218497,Alberta,Elementary
Lynnwood,7.7,"15451 - 84 Avenue   Edmonton, AB T5R 3Y1",Public,53.5168191,-113.5876198,Alberta,Elementary
Millwoods Christian,7.7,"8704 Millwoods Road   Edmonton, AB T6K 3J3",Public,53.4748987,-113.4624709,Alberta,Elementary
St. Sebastian,7.7,"65 Chaparal Drive SE   Calgary, AB T2X 0E6",Separate,50.8847514,-114.029292,Alberta,Elementary
Woodlands,7.7,"88 Woodgreen Drive S.W.   Calgary, AB T2W 4W9",Public,50.938573,-114.107828,Alberta,Elementary
Our Lady of the Evergreens,7.7,"322 Everridge Dr. S.W.   Calgary, AB T2Y 0L5",Separate,50.9145337,-114.1225315,Alberta,Elementary
Alix (Mirror and Alix Central),7.7,"P.O. Box 160   Alix, AB T0C 0B0",Public,52.3969819,-113.1906396,Alberta,Elementary
La V̩rendrye,7.7,"625, 21 rue Sud   Lethbridge, AB T1J 5E4",Francophone,49.6908578,-112.8107611,Alberta,Elementary
Marwayne Jubilee,7.7,"Box 99   Marwayne, AB T0B 2X0",Public,53.5150043,-110.3286096,Alberta,Elementary
St. Catherine,7.7,"11 Canata Close S.W.   Calgary, AB T2W 1P6",Separate,50.9442131,-114.0860608,Alberta,Elementary
St. Monica,7.7,"235 - 18 Avenue S.W.   Calgary, AB T2S 0C2",Separate,51.0367708,-114.0678278,Alberta,Elementary
Parkland Immanuel,7.6,"21304 - 35 Avenue N.W.   Edmonton, AB T6M 2P6",Private,53.469488,-113.684609,Alberta,Elementary
Pollard Meadows,7.6,"1715 - 48 Street   Edmonton, AB T6L 3J6",Public,53.4486836,-113.4132453,Alberta,Elementary
Robert Rundle,7.6,"50A Grosvenor Boulevard   St. Albert, AB T8N 0X6",Public,53.621379,-113.624488,Alberta,Elementary
Fish Creek,7.6,"1039 Suncastle Drive S.E.   Calgary, AB T2X 2Z1",Public,50.901615,-114.032935,Alberta,Elementary
Glen Allan,7.6,"106 Georgian Way   Sherwood Park, AB T8A 2V9",Public,53.536938,-113.281256,Alberta,Elementary
Ascension of Our Lord,7.6,"509 Harvest Hills Drive N.E.   Calgary, AB T3K 4G9",Separate,51.14656,-114.059403,Alberta,Elementary
Elboya,7.6,"4804 - 6 Street S.W.   Calgary, AB T2S 2N3",Public,51.0108811,-114.0782603,Alberta,Elementary
Heritage Christian,7.6,"2003 McKnight Boulevard N.E.   Calgary, AB T2E 6L2",Public,51.0921113,-114.010655,Alberta,Elementary
